subid,tr.num,condition,target_image,dot,gender,age,notes,order,experiment,keep_runsheet,reason_excluded,response,response_onset_type,rt,shift_type,shift_accuracy,shift_accuracy_clean,shift_start_location,keep_et,resp_onset_type_fact
10_20_01,1,face,juice,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,text,include,NA,distracter,center.fixation,0.10000000000000009,D_T,incorrect,correct,not_center,include,center.fixation
10_20_01,1,face,juice,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,text,include,NA,center,noun,0.863,C_T,correct,correct,center,include,noun
10_20_01,1,face,juice,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,text,include,NA,target,sentence,0.43000000000000016,T_C,incorrect,incorrect,not_center,include,sentence
10_20_01,2,face,book,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,text,include,NA,center,center.fixation,0.133,C_T,correct,correct,center,include,center.fixation
10_20_01,2,face,book,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,text,include,NA,center,noun,0.677,C_D,incorrect,incorrect,center,include,noun
10_20_01,2,face,book,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,text,include,NA,target,sentence,0.5030000000000001,T_C,incorrect,incorrect,not_center,include,sentence
10_20_01,3,face,banana,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,text,include,NA,center,center.fixation,0.19999999999999996,C_D,incorrect,incorrect,center,include,center.fixation
10_20_01,3,face,banana,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,text,include,NA,target,noun,NA,no_shift,NA,incorrect,not_center,include,noun
10_20_01,3,face,banana,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,text,include,NA,distracter,sentence,0.133,D_C,incorrect,incorrect,not_center,include,sentence
10_20_01,4,face,book,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,text,include,NA,center,center.fixation,2.9,C_T,correct,correct,center,include,center.fixation
10_20_01,4,face,book,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,text,include,NA,center,noun,0.81,C_T,correct,correct,center,include,noun
10_20_01,4,face,book,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,text,include,NA,center,sentence,2.77,C_T,correct,correct,center,include,sentence
10_20_01,5,face,cookie,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,text,include,NA,center,center.fixation,2.867,C_T,correct,correct,center,include,center.fixation
10_20_01,5,face,cookie,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,text,include,NA,center,noun,0.6869999999999998,C_T,correct,correct,center,include,noun
10_20_01,5,face,cookie,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,text,include,NA,center,sentence,2.597,C_T,correct,correct,center,include,sentence
10_20_01,6,face,book,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,text,include,NA,center,center.fixation,0.10000000000000009,C_D,incorrect,incorrect,center,include,center.fixation
10_20_01,6,face,book,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,text,include,NA,center,noun,0.71,C_T,correct,correct,center,include,noun
10_20_01,6,face,book,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,text,include,NA,distracter,sentence,0.6700000000000002,D_C,incorrect,incorrect,not_center,include,sentence
10_20_01,7,face,shoe,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,text,include,NA,target,center.fixation,0.16700000000000004,T_C,incorrect,incorrect,not_center,include,center.fixation
