subid,tr.num,condition,target_image,dot,gender,age,notes,order,experiment,keep_runsheet,reason_excluded,response,response_onset_type,rt,shift_type,shift_accuracy,shift_accuracy_clean,shift_start_location,keep_et,resp_onset_type_fact
10_20_02,30,text,banana,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,noun,0.3900000000000001,D_T,incorrect,correct,not_center,include,noun
10_20_02,30,text,banana,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,sentence,0.30000000000000004,T_D,incorrect,incorrect,not_center,include,sentence
10_20_02,31,text,cookie,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,center.fixation,0.06699999999999995,D_C,incorrect,incorrect,not_center,include,center.fixation
10_20_02,31,text,cookie,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,center,noun,1.4529999999999998,C_T,correct,correct,center,include,noun
10_20_02,31,text,cookie,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,sentence,0.42999999999999994,T_D,incorrect,incorrect,not_center,include,sentence
10_20_02,32,text,book,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,center.fixation,0.4670000000000001,D_C,incorrect,incorrect,not_center,include,center.fixation
10_20_02,32,text,book,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,center,noun,0.7430000000000003,C_D,incorrect,incorrect,center,include,noun
10_20_02,32,text,book,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,sentence,0.3370000000000002,D_C,incorrect,incorrect,not_center,include,sentence
10_20_02,33,text,shoe,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,center.fixation,0.8,T_C,incorrect,incorrect,not_center,include,center.fixation
10_20_02,33,text,shoe,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,center,noun,0.3969999999999998,C_D,incorrect,incorrect,center,include,noun
10_20_02,33,text,shoe,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,sentence,0.27,T_C,incorrect,incorrect,not_center,include,sentence
10_20_02,34,text,ball,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,center,center.fixation,0.8999999999999999,C_D,incorrect,incorrect,center,include,center.fixation
10_20_02,34,text,ball,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,center,noun,0.5270000000000001,C_D,incorrect,incorrect,center,include,noun
10_20_02,34,text,ball,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,center,sentence,0.5699999999999998,C_D,incorrect,incorrect,center,include,sentence
10_20_02,35,text,juice,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,center.fixation,0.5329999999999999,T_C,incorrect,incorrect,not_center,include,center.fixation
10_20_02,35,text,juice,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,noun,0.363,D_T,incorrect,correct,not_center,include,noun
10_20_02,35,text,juice,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,sentence,0.363,T_C,incorrect,incorrect,not_center,include,sentence
10_20_02,36,text,juice,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,center,center.fixation,0.3999999999999999,C_T,correct,correct,center,include,center.fixation
10_20_02,36,text,juice,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,noun,0.363,D_T,incorrect,correct,not_center,include,noun
10_20_02,36,text,juice,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,center,sentence,0.22999999999999998,C_T,correct,correct,center,include,sentence
10_20_02,37,text,ball,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,center.fixation,0.667,T_C,incorrect,incorrect,not_center,include,center.fixation
10_20_02,37,text,ball,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,noun,0.42700000000000005,T_D,incorrect,incorrect,not_center,include,noun
10_20_02,37,text,ball,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,sentence,0.33699999999999997,T_C,incorrect,incorrect,not_center,include,sentence
10_20_02,38,text,cookie,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,center.fixation,0.933,D_C,incorrect,incorrect,not_center,include,center.fixation
10_20_02,38,text,cookie,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,noun,0.35299999999999976,T_D,incorrect,incorrect,not_center,include,noun
10_20_02,38,text,cookie,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,sentence,0.663,D_C,incorrect,incorrect,not_center,include,sentence
10_20_02,39,text,shoe,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,center.fixation,0.16700000000000004,D_C,incorrect,incorrect,not_center,include,center.fixation
10_20_02,39,text,shoe,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,noun,NA,no_shift,NA,incorrect,not_center,include,noun
10_20_02,39,text,shoe,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,sentence,0.5029999999999999,T_D,incorrect,incorrect,not_center,include,sentence
10_20_02,40,text,book,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,center,center.fixation,0.5,C_D,incorrect,incorrect,center,include,center.fixation
10_20_02,40,text,book,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,noun,0.24300000000000033,T_C,incorrect,incorrect,not_center,include,noun
10_20_02,40,text,book,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,center,sentence,0.3700000000000001,C_D,incorrect,incorrect,center,include,sentence
10_20_02,41,text,juice,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,center.fixation,0.43300000000000005,T_D,incorrect,incorrect,not_center,include,center.fixation
10_20_02,41,text,juice,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,noun,0.2629999999999999,D_T,incorrect,correct,not_center,include,noun
10_20_02,41,text,juice,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,sentence,0.2630000000000001,T_D,incorrect,incorrect,not_center,include,sentence
10_20_02,42,text,cookie,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,center.fixation,1.3330000000000002,D_T,incorrect,correct,not_center,include,center.fixation
10_20_02,42,text,cookie,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,noun,0.41999999999999993,D_T,incorrect,correct,not_center,include,noun
10_20_02,42,text,cookie,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,sentence,1.0630000000000002,D_T,incorrect,correct,not_center,include,sentence
10_20_02,43,text,cookie,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,center.fixation,0.367,T_D,incorrect,incorrect,not_center,include,center.fixation
10_20_02,43,text,cookie,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,noun,0.2869999999999999,D_T,incorrect,correct,not_center,include,noun
10_20_02,43,text,cookie,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,sentence,0.09699999999999998,T_D,incorrect,incorrect,not_center,include,sentence
10_20_02,44,text,ball,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,center.fixation,1.0670000000000002,T_D,incorrect,incorrect,not_center,include,center.fixation
10_20_02,44,text,ball,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,noun,0.2599999999999998,T_D,incorrect,incorrect,not_center,include,noun
10_20_02,44,text,ball,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,sentence,0.7370000000000001,T_D,incorrect,incorrect,not_center,include,sentence
10_20_02,45,text,book,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,center.fixation,0.2330000000000001,T_D,incorrect,incorrect,not_center,include,center.fixation
10_20_02,45,text,book,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,noun,0.24300000000000033,D_C,incorrect,incorrect,not_center,include,noun
10_20_02,45,text,book,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,sentence,0.1030000000000002,T_D,incorrect,incorrect,not_center,include,sentence
10_20_02,46,text,banana,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,center.fixation,0.5329999999999999,T_C,incorrect,incorrect,not_center,include,center.fixation
10_20_02,46,text,banana,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,noun,0.1900000000000004,D_T,incorrect,correct,not_center,include,noun
10_20_02,46,text,banana,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,center,sentence,0.133,C_D,incorrect,incorrect,center,include,sentence
