center,left_image,right_image,target_side,target_image,source_name,stimulus,noun_onset_sec,noun_onset_frames,noun_onset_msec,noun_onset_sec,noun_offset_sec,noun_offset_frames,noun_offset_msec,noun_offset_msec
text,ball,cookie,right,cookie,cookie-textR2,2d4bb7ed42182a61c5db74464008f1ed_1024x768,3,6,3180,3.18,4,4,4120,4.12
bullseye,ball,cookie,right,cookie,cookie-bullR2,f42551770bcbc865bdd0dc50b373899a_1024x768,3,6,3180,3.18,4,4,4120,4.12
bullseye,cookie,ball,left,cookie,cookie-bullL2,3a8a3e285bd9f6183c3662076e7e8c07_1024x768,3,6,3180,3.18,4,4,4120,4.12
bullseye,cookie,ball,left,cookie,cookie-bullL1,e97fb2fa7580b952b0661ba6dfc13fc8_1024x768,3,6,3180,3.18,4,4,4120,4.12
bullseye,ball,cookie,right,cookie,cookie-bullR1,3d975d9e490114faf2a9c40f4eb1932f_1024x768,3,6,3180,3.18,4,4,4120,4.12
face,juice,banana,left,juice,juice-faceL1,e358bf4c75c990472b5a509847fd12b6_1024x768,3,9,3270,3.27,4,6,4180,4.18
face,banana,juice,right,juice,juice-faceR1,26af9fe3ff870f853786bc2b2a74ff27_1024x768,3,9,3270,3.27,4,6,4180,4.18
face,juice,banana,left,juice,juice-faceL2,9c88f36c2475f968ca0e9e17422cdb7d_1024x768,3,9,3270,3.27,4,6,4180,4.18
face,banana,juice,right,juice,juice-faceR2,faa889bd691485f32279610c14653959_1024x768,3,9,3270,3.27,4,6,4180,4.18
text,juice,banana,left,juice,juice-textL1,214fe5fca053cdbc5598e18413d59410_1024x768,3,9,3270,3.27,4,6,4180,4.18
text,banana,juice,right,juice,juice-textR1,590e864e7b1c417bec77afea01c37bf7_1024x768,3,9,3270,3.27,4,6,4180,4.18
text,juice,banana,left,juice,juice-textL2,1d2627bfeb5a251c7c3a19797ef3f4dd_1024x768,3,9,3270,3.27,4,6,4180,4.18
text,banana,juice,right,juice,juice-textR2,7ecce0687d1b2a4a217022a2b20ccc06_1024x768,3,9,3270,3.27,4,6,4180,4.18
bullseye,banana,juice,right,juice,juice-bullR2,422228e4ca25c778b58c9cb18ce5b5c0_1024x768,3,9,3270,3.27,4,6,4180,4.18
bullseye,juice,banana,left,juice,juice-bullL2,471bb43963d7e437e8811155d4947676_1024x768,3,9,3270,3.27,4,6,4180,4.18
bullseye,banana,juice,right,juice,juice-bullR1,7ba2675b53059f6dda43c2a3056a33da_1024x768,3,9,3270,3.27,4,6,4180,4.18
bullseye,juice,banana,left,juice,juice-bullL1,8c8d867db64c818fb6ed5b4be646cabd_1024x768,3,9,3270,3.27,4,6,4180,4.18
face,shoe,book,right,shoe,shoe-faceR1,a80540e2cce57d79fffb3a5a20892638_1024x768,3,9,3270,3.27,3,29,3870,3.87
face,book,shoe,left,shoe,shoe-faceL1,6caffb498c2f5e7f34c008ad68ba155c_1024x768,3,9,3270,3.27,3,29,3870,3.87
face,book,shoe,left,shoe,shoe-faceL2,d248be347de3c9da582cd83b031e6fb4_1024x768,3,9,3270,3.27,3,29,3870,3.87
face,shoe,book,right,shoe,shoe-faceR2,d9d3c118999a6914c732ebb668e22c58_1024x768,3,9,3270,3.27,3,29,3870,3.87
text,shoe,book,right,shoe,shoe-textR1,3fd5cd088119c225ed7c46b2accc0401_1024x768,3,9,3270,3.27,3,29,3870,3.87
text,book,shoe,left,shoe,shoe-textL1,cee17cc1d64dc4332b88e8a4be9328fd_1024x768,3,9,3270,3.27,3,29,3870,3.87
text,book,shoe,left,shoe,shoe-textL2,f444438c55b957172398e3ba8efb53a4_1024x768,3,9,3270,3.27,3,29,3870,3.87
text,shoe,book,right,shoe,shoe-textR2,5814e48a44f215b044499efcd6befd37_1024x768,3,9,3270,3.27,3,29,3870,3.87
bullseye,shoe,book,right,shoe,shoe-bullR2,4714ac7f8fb06de7172d4fb2082d4135_1024x768,3,9,3270,3.27,3,29,3870,3.87
bullseye,book,shoe,left,shoe,shoe-bullL2,ca308383bb32e44886a9bf06bc3ff0b9_1024x768,3,9,3270,3.27,3,29,3870,3.87
bullseye,book,shoe,left,shoe,shoe-bullL1,6e59900b495d723ef1bb78bfa2d87b2c_1024x768,3,9,3270,3.27,3,29,3870,3.87
bullseye,shoe,book,right,shoe,shoe-bullR1,3bba1366419287d440bac25ad128945f_1024x768,3,9,3270,3.27,3,29,3870,3.87
