Sub Num,Months,Sex,Order,Tr Num,PSO Reason
4056,26,F,TRIOFACE1,6,not looking before sound onset
4056,26,F,TRIOFACE1,13,
4056,26,F,TRIOFACE1,14,not looking before sound onset
4056,26,F,TRIOFACE1,15,inattentive
4056,26,F,TRIOFACE1,19,
4056,26,F,TRIOFACE1,21,inattentive
4056,26,F,TRIOFACE1,22,not looking before sound onset
4056,26,F,TRIOFACE1,24,inattentive
4056,26,F,TRIOFACE1,25,not looking before sound onset
4056,26,F,TRIOFACE1,26,inattentive
4056,26,F,TRIOFACE1,27,not looking before sound onset
4056,26,F,TRIOFACE1,28,inattentive
4056,26,F,TRIOFACE1,29,not looking before sound onset
4056,26,F,TRIOFACE1,31,not looking before sound onset
4101,26,F,TRIOFACE2,4,
4101,26,F,TRIOFACE2,6,not looking before sound onset
4101,26,F,TRIOFACE2,9,
4101,26,F,TRIOFACE2,15,
4101,26,F,TRIOFACE2,22,
4101,26,F,TRIOFACE2,25,inattentive
4101,26,F,TRIOFACE2,31,not looking before sound onset
4236,26,M,TRIOFACE1,7,not looking before sound onset
4236,26,M,TRIOFACE1,12,not looking before sound onset
4236,26,M,TRIOFACE1,16,not looking before sound onset
4236,26,M,TRIOFACE1,22,inattentive
4236,26,M,TRIOFACE1,23,
4236,26,M,TRIOFACE1,24,inattentive
4236,26,M,TRIOFACE1,26,not looking before sound onset
4236,26,M,TRIOFACE1,27,not looking before sound onset
4236,26,M,TRIOFACE1,28,not looking before sound onset
4236,26,M,TRIOFACE1,29,not looking before sound onset
4236,26,M,TRIOFACE1,30,not looking before sound onset
4236,26,M,TRIOFACE1,31,not looking before sound onset
4236,26,M,TRIOFACE1,32,not looking before sound onset
4342,26,M,TRIOFACE5,21,inattentive
4342,26,M,TRIOFACE5,23,not looking before sound onset
4358,26,M,TRIOFACE2,4,not looking before sound onset
4358,26,M,TRIOFACE2,5,not looking before sound onset
4358,26,M,TRIOFACE2,12,not looking before sound onset
4358,26,M,TRIOFACE2,24,
4358,26,M,TRIOFACE2,26,not looking before sound onset
4652,26,F,TRIOFACE6,5,
4652,26,F,TRIOFACE6,7,not looking before sound onset
4652,26,F,TRIOFACE6,13,inattentive
4652,26,F,TRIOFACE6,15,inattentive
4652,26,F,TRIOFACE6,16,not looking before sound onset
4652,26,F,TRIOFACE6,23,not looking before sound onset
4652,26,F,TRIOFACE6,24,child is talking (interfering)
4652,26,F,TRIOFACE6,25,inattentive
4652,26,F,TRIOFACE6,26,inattentive
4812,26,M,TRIOFACE5,30,inattentive
4812,26,M,TRIOFACE5,31,inattentive
4812,26,M,TRIOFACE5,32,inattentive
4812,26,M,TRIOFACE5,33,not looking before sound onset
4813,26,F,TRIOFACE4,4,
4813,26,F,TRIOFACE4,11,
4813,26,F,TRIOFACE4,13,
4813,26,F,TRIOFACE4,14,inattentive
4813,26,F,TRIOFACE4,15,eyes not visible
4832,26,M,TRIOFACE1,2,
4832,26,M,TRIOFACE1,10,
4832,26,M,TRIOFACE1,16,inattentive
4832,26,M,TRIOFACE1,17,inattentive
4832,26,M,TRIOFACE1,23,not looking before sound onset
4832,26,M,TRIOFACE1,24,not looking before sound onset
4832,26,M,TRIOFACE1,27,not looking before sound onset
4832,26,M,TRIOFACE1,28,inattentive
4832,26,M,TRIOFACE1,32,child is talking (interfering)
4835,26,F,TRIOFACE4,3,not looking before sound onset
4835,26,F,TRIOFACE4,8,not looking before sound onset
4835,26,F,TRIOFACE4,17,not looking before sound onset
4835,26,F,TRIOFACE4,20,
4835,26,F,TRIOFACE4,24,not looking before sound onset
4835,26,F,TRIOFACE4,25,inattentive
4835,26,F,TRIOFACE4,26,not looking before sound onset
4835,26,F,TRIOFACE4,27,not looking before sound onset
4835,26,F,TRIOFACE4,32,not looking before sound onset
4843,26,F,TRIOFACE3,4,
4843,26,F,TRIOFACE3,7,
4843,26,F,TRIOFACE3,10,
4843,26,F,TRIOFACE3,11,not looking before sound onset
4843,26,F,TRIOFACE3,21,not looking before sound onset
4843,26,F,TRIOFACE3,22,inattentive
4843,26,F,TRIOFACE3,27,not looking before sound onset
4843,26,F,TRIOFACE3,28,
4843,26,F,TRIOFACE3,31,inattentive
4862,26,M,TRIOFACE2,5,
4862,26,M,TRIOFACE2,6,
4862,26,M,TRIOFACE2,15,
4862,26,M,TRIOFACE2,16,parent is talking (interfering)
4862,26,M,TRIOFACE2,17,inattentive
4862,26,M,TRIOFACE2,19,inattentive
4862,26,M,TRIOFACE2,21,inattentive
4862,26,M,TRIOFACE2,22,not looking before sound onset
4871,26,F,TRIOFACE3,14,inattentive
4871,26,F,TRIOFACE3,22,
4871,26,F,TRIOFACE3,30,not looking before sound onset
4871,26,F,TRIOFACE3,31,inattentive
4877,26,F,TRIOFACE6,8,
4877,26,F,TRIOFACE6,28,not looking before sound onset
4877,26,F,TRIOFACE6,30,
4892,26,F,TRIOFACE5,6,not looking before sound onset
4892,26,F,TRIOFACE5,13,not looking before sound onset
4892,26,F,TRIOFACE5,16,inattentive
4892,26,F,TRIOFACE5,17,eyes not visible
4892,26,F,TRIOFACE5,18,inattentive
4896,26,F,TRIOFACE3,11,computer malfunction
4896,26,F,TRIOFACE3,15,inattentive
4896,26,F,TRIOFACE3,17,inattentive
4896,26,F,TRIOFACE3,24,not looking before sound onset
4899,25,F,TRIOFACE4,3,
4899,25,F,TRIOFACE4,7,
4899,25,F,TRIOFACE4,8,
4899,25,F,TRIOFACE4,23,inattentive
4899,25,F,TRIOFACE4,24,not looking before sound onset
4899,25,F,TRIOFACE4,27,eyes not visible
4899,25,F,TRIOFACE4,29,inattentive
4899,25,F,TRIOFACE4,30,eyes not visible
4901,26,F,TRIOFACE3,11,
4901,26,F,TRIOFACE3,17,inattentive
4901,26,F,TRIOFACE3,24,inattentive
4901,26,F,TRIOFACE3,25,not looking before sound onset
4901,26,F,TRIOFACE3,26,inattentive
4901,26,F,TRIOFACE3,27,child is talking (interfering)
4901,26,F,TRIOFACE3,29,child left chair
4915,26,M,TRIOFACE2,13,not looking before sound onset
4915,26,M,TRIOFACE2,14,not looking before sound onset
4915,26,M,TRIOFACE2,15,
4915,26,M,TRIOFACE2,21,
4915,26,M,TRIOFACE2,25,child is talking (interfering)
4915,26,M,TRIOFACE2,26,
4915,26,M,TRIOFACE2,28,inattentive
4915,26,M,TRIOFACE2,29,inattentive
4928,26,F,TRIOFACE1,2,
4928,26,F,TRIOFACE1,6,not looking before sound onset
4928,26,F,TRIOFACE1,9,not looking before sound onset
4928,26,F,TRIOFACE1,14,inattentive
4928,26,F,TRIOFACE1,25,
4928,26,F,TRIOFACE1,26,inattentive
4928,26,F,TRIOFACE1,27,inattentive
4928,26,F,TRIOFACE1,28,inattentive
4928,26,F,TRIOFACE1,29,inattentive
4928,26,F,TRIOFACE1,30,inattentive
4949,26,M,TRIOFACE6,16,not looking before sound onset
4949,26,M,TRIOFACE6,18,
4949,26,M,TRIOFACE6,24,inattentive
4949,26,M,TRIOFACE6,33,
4976,26,F,TRIOFACE7,9,
4976,26,F,TRIOFACE7,16,
4976,26,F,TRIOFACE7,20,
4976,26,F,TRIOFACE7,21,not looking before sound onset
