target_image,noun_onset_sec,noun_onset_frames,noun_onset_msec,noun_onset_sec,noun_offset_sec,noun_offset_frames,noun_offset_msec,noun_offset_msec,sentence_onset_sec_frames,sentence_onset_frames,sentence_onset_sec
ball,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
banana,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
book,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
cookie,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
juice,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
shoe,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
