sign,signer,trial_num_peek,stimuli,onset_sec,onset_frames,offset_s,offset_frames,length_ms
ball_where,r,36,V2,4,9,5,21,1386
ball_which,r,"14,22",V2,2,3,3,10,1221
ball_love,r,4,V2,3,22,5,10,1584
teddy_which,r,5,V2,1,25,3,7,1386
teddy_where,r,"13,30",V2,4,7,5,17,1320
teddy_love,r,23,V2,3,26,5,22,1848
birdy_love,r,"6,15,20,31",V2,3,28,5,28,1980
book_where,r,"7,32",V2,4,7,5,15,1254
book_which,r,11,V2,1,28,3,15,1551
book_love,r,21,V2,3,28,5,14,1518
car_where,r,"3,17",V2,3,23,5,6,1419
car_which,r,24,V2,2,1,3,13,1386
car_love,r,34,V2,3,21,5,11,1650
kitty_love,r,29,V2,3,28,5,18,1650
kitty_where,r,"12,25",V2,4,2,5,8,1188
kitty_which,r,8,V2,1,24,3,1,1221
doll_which,r,"2,35",V2,1,23,2,22,957
doll_where,r,27,V2,4,0,5,9,1287
doll_love,r,16,V2,3,22,5,10,1584
shoe_love,r,9,V2,3,15,5,2,1551
shoe_where,r,26,V2,4,1,5,6,1155
shoe_which,r,"18,33",V2,1,25,3,1,1188
ball_where,p,30,V1,1,25,2,18,759
ball_find,p,"4,14,22",V1,2,4,3,19,1485
teddy_look,p,"5,23,31",V1,1,29,2,26,891
teddy_where,p,13,V1,1,28,2,26,924
birdy_where,p,"15,20,32",V1,1,28,2,20,726
birdy_look,p,7,V1,1,24,2,15,693
book_where,p,8,V1,2,4,3,7,1089
book_look,p,"11,21,33",V1,2,5,3,1,858
car_where,p,"3,17,24,36",V1,1,23,2,28,1155
doll_find,p,"27,35",V1,1,28,3,0,1056
doll_where,p,"2,16",V1,1,28,2,24,858
kitty_hey,p,9,V1,3,4,4,2,924
kitty_where,p,"12,25,29",V1,2,4,3,1,891
shoe_hey,p,"18,26,34",V1,3,0,4,8,1254
shoe_where,p,6,V1,1,23,3,10,1551
