condition,stimulus,left_image,right_image,target_image,center,audio,noun_onset_sec,noun_onset_frames,noun_onset_msec,noun_onset_sec_1,noun_offset_sec,noun_offset_frames,noun_offset_msec,noun_offset_sec_1,sentence_onset_sec_frames,sentence_onset_frames,sentence_onset_sec
Face,a6ac87e67dccd60acb5ccc2372fc2608_1024x768,book,shoe,shoe,face,audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Face,403c10fa1eb73231c3fb750edf193068_1024x768,cookie,ball,cookie,face,audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Face,38b000d0b52e7729b309f2ee121b0643_1024x768,ball,cookie,cookie,face,audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Face,ac1c5a3b9c943468201c65b2cd33f826_1024x768,juice,banana,juice,face,audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Face,2b7bae10d3168ca187477ba026d1170a_1024x768,banana,juice,juice,face,audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Face,b52024bfbb200e39f2a4ebe157cf52a2_1024x768,juice,banana,banana,face,audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Face,54addee71185bd97fdf59c7de9862947_1024x768,juice,banana,juice,face,audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Face,c3a119449f4708d04af4dc219973d39c_1024x768,juice,banana,banana,face,audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Face,6ded68702c5e528e8bf03625795df17b_1024x768,cookie,ball,ball,face,audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Face,afd7007189247163013f4ce2f8343a44_1024x768,cookie,ball,ball,face,audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Face,4e8541f701a17f8af88fe3018a07e3bd_1024x768,shoe,book,shoe,face,audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Face,74312c7d84bf35deca1b0ef453444d84_1024x768,shoe,book,book,face,audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
Face,dc965fb258964ca102734d7f5a4fa15f_1024x768,shoe,book,book,face,audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
Face,03a685df470d5e0bdd07e7c494c8c5d5_1024x768,book,shoe,book,face,audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
Face,7058b349489b03aa02cce6efbc5077fe_1024x768,ball,cookie,ball,face,audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Face,06d74ad70336b491c485d9e380033289_1024x768,shoe,book,shoe,face,audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Face,be46b686238133ca33f9c5753c1bba90_1024x768,ball,cookie,ball,face,audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Face,468631b8e1c1d7732d930c01406e56e4_1024x768,book,shoe,shoe,face,audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Face,e255c57582b50ca8c28322374859ca57_1024x768,banana,juice,banana,face,audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Face,f416258493c5eca2e15497135ad9ab5b_1024x768,banana,juice,banana,face,audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Face,78b4d0366f84ca2b340b97f96fe46df1_1024x768,cookie,ball,cookie,face,audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Face,2994977e4cb65e6713da95108298f99c_1024x768,banana,juice,juice,face,audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Face,b5c0beae668df173200badc371364820_1024x768,book,shoe,book,face,audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
Face,b592ee671b413538c7fd52b6f857dd76_1024x768,ball,cookie,cookie,face,audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
