condition,stimulus,left_image,right_image,target_image,center,audio,noun_onset_sec,noun_onset_frames,noun_onset_msec,noun_onset_sec_1,noun_offset_sec,noun_offset_frames,noun_offset_msec,noun_offset_sec_1,sentence_onset_sec_frames,sentence_onset_frames,sentence_onset_sec
Face,07a48d07c1fcb9503d3c1ad539cd66a1_1024x768,juice,banana,banana,face,audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Face,9c88f36c2475f968ca0e9e17422cdb7d_1024x768,juice,banana,juice,face,audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Face,d9ea921912d877059f0b997cf052d1e9_1024x768,cookie,ball,cookie,face,audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Face,d4aac1cfd47771585686be43d19387de_1024x768,cookie,ball,ball,face,audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Face,6caffb498c2f5e7f34c008ad68ba155c_1024x768,shoe,book,shoe,face,audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Face,ac37dc4de566d857eaef01b79ad30c66_1024x768,juice,banana,banana,face,audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Face,d248be347de3c9da582cd83b031e6fb4_1024x768,shoe,book,shoe,face,audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Face,3249a3d315efda891189ea955d925758_1024x768,ball,cookie,ball,face,audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Face,e006c5d30dd47a0973958d9077bd335a_1024x768,ball,cookie,cookie,face,audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Face,6eacc410ae3622014cc558ec53d7d2cb_1024x768,cookie,ball,ball,face,audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Face,9e76e6b01ba4fa3336df27a7dde2ad20_1024x768,ball,cookie,ball,face,audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Text,3990bdb28e42adecb13092b101f3cb53_1024x768,ball,cookie,cookie,text,audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Text,e13f3704c04fa015c570c1d14fb2278f_1024x768,ball,cookie,ball,text,audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Text,2d4bb7ed42182a61c5db74464008f1ed_1024x768,ball,cookie,cookie,text,audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Text,b56d2a83e23a2d59441ac7775225dbc3_1024x768,book,shoe,book,text,audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
Text,e16e94d2baa980f81f8f5ed568e6b5c5_1024x768,book,shoe,book,text,audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
Text,485e9d780889a2cb80d9ff9a6a8fc867_1024x768,cookie,ball,cookie,text,audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Text,454b3f58547895fc531cf41eeb50bdba_1024x768,ball,cookie,ball,text,audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Text,b1d183c451256a8ac4158a5e433beee2_1024x768,juice,banana,banana,text,audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Text,9e4992013ab57a1aceecdf053f12ad40_1024x768,shoe,book,book,text,audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
Text,590e864e7b1c417bec77afea01c37bf7_1024x768,banana,juice,juice,text,audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Text,1d2627bfeb5a251c7c3a19797ef3f4dd_1024x768,juice,banana,juice,text,audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Text,7ecce0687d1b2a4a217022a2b20ccc06_1024x768,banana,juice,juice,text,audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Text,cee17cc1d64dc4332b88e8a4be9328fd_1024x768,shoe,book,shoe,text,audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Text,214fe5fca053cdbc5598e18413d59410_1024x768,juice,banana,juice,text,audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Text,8c30bdc48f2c56632c710168adf2209b_1024x768,banana,juice,banana,text,audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
