	a(bullseye)	a(face)	a(text)	a(text-no-audio)	v(bullseye)	v(face)	v(text)	v(text-no-audio)	experiment	age_code
0	1.5522974367394178	1.6962207968269198	1.3653565492410977	1.2420222709512512	1.6179054211192851	2.506203930738173	1.9698120335557856	3.381523190949527	text	adults
1	1.4630377511822676	1.9120092211245718	1.5602833152150726	1.3688635315552733	1.7800507797398075	1.7563348319756362	1.8268937064349522	2.2168968292613775	text	adults
2	1.534934423972841	1.4754582918329973	1.1383557951260248	1.4044117486332548	1.8107030834290065	2.077430696906532	2.2950969730554704	2.091987154261369	text	adults
3	1.5116851676767549	1.6469149853639933	1.484035436131845	1.325147916943408	1.4809581247285115	2.9891184532647483	2.3698124315264626	2.29701331782864	text	adults
4	1.5026476616405586	1.6912578535168399	1.5197938067343209	1.3578312249526017	1.6912393776332175	2.006405120030673	2.3175097281159474	2.0673970330335445	text	adults
5	1.3245889159401427	1.9113877615132087	1.321217479561007	1.2467424667153462	1.9301088665350572	1.9561594600828283	1.9523565440051596	2.0534696470772187	text	adults
6	1.4781679469228994	1.828607127163844	1.4208992519349066	1.3439374821209484	2.020626478328672	2.5560165688610748	2.008500710454381	1.652386831908396	text	adults
7	1.6049866119020582	1.857636184204347	1.1282426375166261	1.3610809226740495	1.6831081755402144	2.44846597963387	1.661346545878274	2.6276202525311545	text	adults
8	1.4853711564472118	1.715735938773276	1.5870413762171323	1.3458633262108277	1.1918971244827152	2.15775495582604	1.5296154380471365	2.4469596347623437	text	adults
9	1.4552141536489984	1.804587048745211	1.640176002190352	1.3180669727386223	1.531177326509542	2.4162185538601184	2.240510453776622	1.7902426776855003	text	adults
10	1.611655864096026	1.8224897964598945	1.24839962922618	1.3133154017590605	1.8763061655793576	2.166919640702816	2.078139206034804	2.6399306685382147	text	adults
11	1.2022986465526118	1.6167183937945808	1.2783936250679522	1.3114150905425301	1.4304775025383163	2.262479610821186	1.8938192085857926	1.9264985772373784	text	adults
12	1.342567589843853	1.7600133817955628	1.3540215848135975	1.2581117611035466	2.3025884452762346	2.236181184410232	2.0951283976933937	2.1794321549435116	text	adults
13	1.4759372310206145	1.7328993742401013	1.3786787058995011	1.4024278348407586	1.6898101166867963	2.3370593535005035	1.348927365131885	2.1645058049322397	text	adults
14	1.2862485180792076	1.6583284739156743	1.3986800761210167	1.2826518736681527	1.8623821864472594	2.8234691829899923	1.5918501468411594	2.3349392778966807	text	adults
15	1.4175848665967075	1.7082720697124747	1.3229067041204747	1.2834462611605213	1.7028406156943723	2.5278749531051696	2.532328933240149	2.066993859071043	text	adults
16	1.3971354908788216	1.648310204162667	1.502428511027917	1.5589139122443842	1.8951874062386027	2.5203034949171084	2.508278039290713	2.043943185769898	text	adults
17	1.431945598776635	1.6875195646178005	1.432850358751908	1.5209547134849406	2.1649795578063715	2.232800590687008	1.7445373230010124	2.2121590571221033	text	adults
18	1.5443094641812056	1.8423789193773077	1.3047889130185633	1.430920955275505	1.9618448513515365	2.7468596517287924	1.6830940306410394	1.9011244322619312	text	adults
19	1.4149691676456175	1.6030211719215166	1.4781142757577324	1.473063657825557	1.9555248901785087	2.14407698382624	2.087368943509036	2.4413647407989245	text	adults
20	1.238179512487143	1.6997633755975694	1.3580896152610338	1.3744651934122976	1.9922358389116919	2.016178100960287	1.9628957463973302	1.977885280911932	text	adults
21	1.3261735383602202	1.6371069706030383	1.3978976251308413	1.4301601481316872	1.6477537859823812	2.723759108697546	1.806896704002064	2.5389808715105473	text	adults
22	1.3537792425106572	1.520710938624998	1.4449868310420437	1.3703822492714748	1.6393022396035866	2.930327891236625	1.9607560997878755	2.1753700193083305	text	adults
23	1.3327262355911245	1.4792673670001475	1.4699204966938872	1.2375966178151467	1.0822768905669888	2.612493685003184	1.9024539542537617	2.446675397421315	text	adults
24	1.4010465069374929	1.671795449828098	1.3688750028717782	1.3103653241406503	1.3384137740309936	2.4836689414839213	1.921832690083343	1.7706200613567424	text	adults
25	1.3287436716720578	1.6149302793891827	1.2561512738655054	1.235201595023048	1.9157282202056984	2.4700922299396804	2.3251242099230804	2.6202071920337056	text	adults
26	1.1933175156914295	1.7699712874586102	1.380698514519155	1.245754618036031	1.908241124287339	2.3367294144811597	1.8315169201010348	1.9606877146443082	text	adults
27	1.1706526340539707	1.4920510411883818	1.3882496198595389	1.3550962957392092	1.7724447694418621	2.5232830184799875	2.006447811176131	1.861753264830114	text	adults
28	1.4920188659172204	1.7594313528114573	1.3895604890735866	1.3676127130740872	1.8727810355635084	2.2684717311449405	1.768215689124216	1.7747154880485145	text	adults
29	1.523888908483347	1.8171326337620277	1.5996880343476338	1.3883904168850218	1.3623600641847944	2.129819374631976	1.9413684418324335	2.163135631431565	text	adults
30	1.559348207674763	1.7858446536043493	1.4508463314784121	1.4672527075772834	1.653208193542988	2.2811424261424014	2.031059186677299	2.004293936637658	text	adults
31	1.3564197848122233	1.9098325627358281	1.4310647280341553	1.3563127454569397	1.4639199051746727	2.785354418924736	1.2876203206161239	2.212787951842627	text	adults
32	1.4774363897397287	1.5727690415589781	1.4187492109134672	1.4695133176549704	1.1534489672530566	2.899563850809585	1.5465168231368052	2.004134999206584	text	adults
33	1.4703406697649863	1.7577913166683667	1.5747797950686482	1.2968134186858418	1.4538384630586734	2.6089979542286694	1.8658668444777156	2.2869443364849795	text	adults
34	1.4277196161293666	1.8208039129341471	1.2456686283629619	1.2993021078090052	1.9569520170132149	2.138317688950213	2.1714114199203705	2.417990949162484	text	adults
35	1.409955399996558	1.741729464817727	1.3320458354782159	1.3899522861675906	1.9647948241706148	2.4963624999625296	2.050432645409314	2.158371826990955	text	adults
36	1.7818092565017132	1.7082447077699152	1.4525250901433708	1.3118692691488318	1.9082496399731723	2.4309725537823614	1.6646591540538098	2.117689403595274	text	adults
37	1.3269040384122484	1.5934485381238195	1.3728696072511481	1.2294840481135718	2.0873777680028396	2.6116676203574003	1.869496359457964	2.0587556661868724	text	adults
38	1.383502445113204	1.6072773705772598	1.4321559003766102	1.5619514649987445	1.9413216803438464	2.8795690914937655	2.024813199002173	2.246201330408017	text	adults
39	1.6240954745108043	2.0203536089508005	1.3826589601652566	1.432484345066385	2.06087604873841	2.507190288028907	1.9164455492682524	2.129314973234038	text	adults
40	1.592040390288759	1.7371316305428919	1.3912441361574528	1.3740481659429415	1.8543149899539455	2.6911369425871743	2.1823449906608783	2.3372486051748886	text	adults
41	1.4581286887346065	1.7775969477658633	1.4190743994072559	1.410702690908434	1.5380022495259853	2.294251737433455	1.897923658397699	2.4737755844174716	text	adults
42	1.4942950341561034	1.579600728509618	1.3932348013087907	1.354973863451912	1.261714149387016	1.931201975389791	2.2317465263961456	2.046595565083339	text	adults
43	1.2397497440645633	1.7196611844115468	1.2888137634686878	1.3653207115369623	2.1047696687075472	2.7032226565910813	1.6982814248418716	2.41064213541832	text	adults
44	1.6107629126629677	1.5267411987491633	1.3254326148203543	1.3805334576865218	2.3442441192328998	2.265590898204344	1.6270862688362957	2.320237938728883	text	adults
45	1.5132885551122592	1.7176394699098119	1.3419650106297172	1.3112614549105008	1.8412773551214063	2.2362579978656294	1.7056777931221832	1.9913625584206085	text	adults
46	1.484317298961083	1.5097989451982547	1.2078535947836617	1.3206524169485372	2.0008762648284373	2.4456830184128977	1.9896686132941057	2.2815939116160027	text	adults
47	1.324325270540678	1.702658596103005	1.262855143274352	1.297710351221569	1.398139017084785	2.2849740697730287	1.9294913072411466	2.377631676695267	text	adults
48	1.2844218956928506	1.5008400614777049	1.2794341075789246	1.1970585912820926	1.6619528000427222	2.3839803509159965	1.9020412778705837	1.7620075599627776	text	adults
49	1.3267736986180432	1.6656630788217233	1.1798886424581827	1.2540432937654553	1.8109708852859572	2.3483236791495026	2.1404601833376447	1.8850349503471167	text	adults
50	1.256987047791619	1.5592965448293343	1.183787097973273	1.2778176897357199	2.5453330159611696	2.164165614898955	2.0052020972558	2.1989993520519033	text	adults
51	1.1899058382768943	1.6342548530285042	1.4863369578501917	1.4233894350282208	2.077237708294587	2.016795601152374	2.309338438613798	2.311424822710361	text	adults
52	1.3481673570204928	1.5253440130888367	1.4450309911534363	1.2757248301453334	1.761699057289323	1.9340591044908366	1.7346952866435978	2.3016547204442546	text	adults
53	1.267642208600241	1.5941295612418904	1.4520156970522926	1.455189770830359	2.045025653991462	2.4273768784165357	2.256390991718768	2.4940465954424758	text	adults
54	1.3962470623754244	1.8854670357220895	1.4505152715593979	1.2538837628300918	0.8676244240525078	2.275553221792126	2.0231629494799312	2.1117301434227493	text	adults
55	1.4485071231325517	1.575608731205258	1.3233682371387416	1.4291335586105625	1.569729171457823	2.1616667107073786	2.1124945608581895	2.423280033994195	text	adults
56	1.2254930514538618	1.6643670453691024	1.3179212574676336	1.2386579776679536	1.851244520647699	2.535448446976194	1.9405894719042527	2.157654935773354	text	adults
57	1.3468720820606315	1.7922874467218142	1.3050753649567686	1.1597629690808657	1.6970480901435643	2.126740690169337	1.2684550560203323	1.8539436819944517	text	adults
58	1.4224645588121114	1.7997727940779897	1.2679266272089604	1.2677413615373845	2.1524851483662797	2.0968448367505244	1.8188800419216355	2.1581663365562203	text	adults
59	1.2671882540333768	1.7633741877859628	1.4512074927098644	1.2810355418945412	2.112439921302225	2.0668164483229408	1.9646463753051824	2.197454595431578	text	adults
60	1.3619243505278513	1.7049719759092985	1.3756309734560588	1.2655371598419871	1.7289153112701396	2.333824839334862	1.6294726052956316	2.568950462535783	text	adults
61	1.2949359494585817	1.7048635672588945	1.4024176632038075	1.2895093741972468	1.750015242532701	2.158217002070736	2.5214522303874496	2.176926484759131	text	adults
62	1.3268863062118783	1.7650900837044663	1.3092946862094255	1.3358788690922312	1.8415460847484697	1.7866842688568298	1.5914334780157966	2.2700584875652665	text	adults
63	1.4795253558806922	1.7855747893349312	1.3979552230054948	1.389288618344665	1.3690740627328921	2.1170365941371463	2.133565868494811	1.8999095080412187	text	adults
64	1.3472763365950513	1.7579184971707535	1.3859316034686757	1.4036480693393203	1.6398357783164137	2.4543028716970157	2.049466069952966	2.7090140180298574	text	adults
65	1.3344501868153853	1.5172411550226423	1.350596819938454	1.3883944680556366	1.9392131381172608	2.747387652791205	1.9317947185908435	1.7458733791564771	text	adults
66	1.3751031115321983	1.7480215031580655	1.3300087089617756	1.4291470291477426	1.7661161730348103	2.4718129916499745	2.1946170866356915	1.751824534298433	text	adults
67	1.418208623857939	1.8373390402897385	1.4582028373317373	1.3073098913812382	1.7730243308820797	2.1496585301671	2.230049072099228	2.7413081650053903	text	adults
68	1.4294979325886248	1.6970942530065916	1.5007945609429103	1.363729660122922	1.3988426624135748	2.6001058278516784	1.8080513214255467	2.200904004878189	text	adults
69	1.4085637048851662	1.6055960887431882	1.4767554928910651	1.4529162880068849	1.4959465222819617	2.7545214073839315	1.7304594482132112	2.5086372462738837	text	adults
70	1.3045614918711785	1.7697443778702733	1.4611937920956302	1.3133019770978216	1.629858716271329	2.4709959700255157	2.0036320874665248	2.064906191516355	text	adults
71	1.2156748395652204	1.823763683681968	1.4480553596918448	1.3550687532726693	1.9025404543133217	2.9613666964368055	1.7730109707460286	2.353093177295327	text	adults
72	1.347842724015925	1.6071692092084775	1.5334643097378222	1.2888375925302284	1.9729321908148516	2.7931220846936218	2.0278392952091537	2.125384608072105	text	adults
73	1.4719810685973762	1.6516530002917804	1.6191567302974585	1.2700056325007751	1.2898763484591305	2.501668412253867	2.6431539844008136	2.286796738527609	text	adults
74	1.4066636547596034	1.7221411857460076	1.0528210891710899	1.3528650921424399	1.5711754147360952	2.2231393654172105	1.5179046128244793	2.7255758527354392	text	adults
75	1.3281469840307443	1.633650613669286	1.1040243799768559	1.2445483346928141	1.6819893546725018	2.4892864319421686	1.2907321270860805	1.9080062967822053	text	adults
76	1.2598282190316572	1.519684621192364	1.2330968766131822	1.3959743659553618	1.4313413158612622	2.3646566756521916	1.7095557526573186	2.33854534746481	text	adults
77	1.6086282611718068	1.7339082261534962	1.196905780035539	1.2412313658869263	1.4943364686567377	2.4301115930835815	1.7245643860563111	1.7358711868590975	text	adults
78	1.6205614854508497	1.8606504578176177	1.4564631601148652	1.2044023513757804	1.7439294367474885	2.386418592209422	1.988351082951132	2.340178148204789	text	adults
79	1.3135568923627021	1.4502717986512397	1.2924795035393106	1.3214676272539256	2.2101057979225267	2.240521468454462	1.6567656971129954	2.198224718324232	text	adults
80	1.4064764620458567	1.3775524456239117	1.1822157362691699	1.3341327164965557	1.7617442931836513	2.308545580661861	1.7863995695082393	2.1185796433708277	text	adults
81	1.2435199135402113	1.456149376374162	1.1151592915262962	1.3602089928031578	2.0470870720507826	2.5531884778514438	2.047659409315874	1.9715650698864002	text	adults
82	1.33648598423907	1.6383006156258917	1.1783645606639426	1.3170856820940342	1.8465029657368568	2.383592708091031	1.8391159594243873	2.3522100289026326	text	adults
83	1.4249169374268795	1.7455244925872162	1.2748135775037026	1.3152239590017087	1.7776455220786875	2.495684650888639	1.7403581691905525	2.0509868284601387	text	adults
84	1.4117770364779954	1.6074864176664732	1.29232379105799	1.3142394570679368	1.7713054860902002	2.3592599062629227	2.0094991564773954	2.284273918456133	text	adults
85	1.373705672509994	1.5532522337097876	1.3135782226161694	1.3639414677417425	1.6391596383590525	2.2776687863238276	1.3863763042304784	2.43726070164484	text	adults
86	1.2967389496857913	1.4867019506314276	1.219390426057627	1.3889483646128231	1.8087041583963184	2.5402069369204354	2.092856455697229	2.2473361954175557	text	adults
87	1.5076070901558847	1.4974880612793526	1.2554466677565361	1.121158725112476	1.7850142115974947	2.6749826383057713	1.7290504300728953	1.9618352768363891	text	adults
88	1.5325426463946699	1.6391567033031524	1.283274083435627	1.2333506646534784	2.0211411227704383	2.328657014339195	2.2358678420469267	1.9487089355760547	text	adults
89	1.248090682926211	1.6649073072529377	1.3907992286455322	1.1050995755580932	1.5439758343856198	2.5359283831087094	1.9355407384378367	2.2532140821963416	text	adults
90	1.4961715587699085	1.6603171321449053	1.3994884860299313	1.1408501135019447	1.7652523400258047	2.1745212622001895	2.149434439972519	2.187321110128405	text	adults
91	1.5034183609606404	1.604222952524576	1.392558421826838	1.20761236426991	2.2828990983322535	2.487825253042987	1.7431236335699094	2.0496998213038378	text	adults
92	1.5382904808921847	1.8366882036572403	1.3510238137456496	1.4440088388370094	1.7566887104132758	2.0813848461260323	2.5956550061571155	1.904484692748799	text	adults
93	1.4202759272038086	1.8112873643589078	1.4027498973914199	1.456943119200759	1.837005658761206	2.2398428491793645	1.8459964794005252	2.2262736395769336	text	adults
94	1.3900556907164576	1.7552131176495065	1.4241754274202363	1.4981909501595818	1.713090000935074	2.735958878611992	2.0397254521836055	2.2955698549680084	text	adults
95	1.2582382770153744	1.6963499449915584	1.543726953721505	1.4025854379233471	1.6471575252995718	2.244813654214199	1.5784056584679096	2.268558179484462	text	adults
96	1.4240472636758992	1.6651499154543543	1.5037721463692528	1.5781961435145109	1.4611047046627081	2.334335948292694	1.4430381513899648	1.6577475037354583	text	adults
97	1.3985911216564353	1.8598116302180914	1.3464708288444616	1.6296051282746669	1.9649808226909318	2.169693199099281	2.1057548947651545	1.693767599254612	text	adults
98	1.4003656632553096	1.7505728577519757	1.4380322577175857	1.2590439119939778	1.6063052990821498	2.484599069803268	1.8752583486688241	1.7710117191414914	text	adults
99	1.443312399931587	1.8766964070817367	1.4831782803799267	1.3808052573405947	1.9339551310752612	2.5782799014021625	2.513673100112225	2.3704631154464404	text	adults
100	1.3604487133416714	1.764674534282294	1.4246191094534113	1.3133897104903836	1.9605941176825532	2.4105137859701338	1.617772079076163	2.0601001437124067	text	adults
101	1.4850036302065401	1.8068205141847253	1.3009504296574206	1.3766771939446762	1.9374312431046465	2.0796654775697765	1.9928138165643645	2.067790016252898	text	adults
102	1.465108694609775	1.855949500244038	1.3172067543734518	1.3509927735028122	2.0173618360260464	2.326614416442227	2.21338377330298	2.255864441106932	text	adults
103	1.3369649339071494	1.6988668654249637	1.3247913785522147	1.3750729259138477	2.1333377969042906	2.347727785148456	2.0091548648244917	2.1023866518570524	text	adults
104	1.2994882728978059	1.8129365033955145	1.3815459547863127	1.2992092772329287	2.1179414554401017	2.408721572106519	1.8643470020340585	1.7736655072562404	text	adults
105	1.4845544914624274	1.6245489416018188	1.339651927554222	1.2956852878974077	1.7165764853278482	2.1599584598267065	1.7995144023475522	2.0179010836595483	text	adults
106	1.619597278661122	1.755013290590983	1.211946138064365	1.319888190916274	1.5646217440433143	2.1192308524985277	1.5398230224669764	2.247900565393713	text	adults
107	1.5330797439024375	1.7309509078007177	1.722598460641166	1.3138138334880876	1.5655951011659623	2.088344217297085	1.6899602294032723	1.5873483709299356	text	adults
108	1.5257733377108709	1.7369468831605168	1.594142681850196	1.3052115659768817	1.5342851813147176	2.4617070236484713	2.1500058414936776	1.9486664515344212	text	adults
109	1.380582896320835	1.9444335926139855	1.5591194901191971	1.4542360392581593	1.6461658732458695	2.3493478007871493	2.110545990458268	2.0643791574318286	text	adults
110	1.5759324633229084	1.9969861237445037	1.3190714695769103	1.4098027096960126	1.939599344324718	2.139887770305627	1.8495412042155601	2.2249557617774927	text	adults
111	1.4818021913458912	1.7172694971947458	1.216211664095829	1.246299289410045	1.5804093350448627	2.7432789182441017	1.9213415410926062	1.6967191751972177	text	adults
112	1.411723150262566	1.7838114690573263	1.5328991617919074	1.3711079499985994	1.3922487960588514	2.4268465395204584	2.671914013050938	1.8307829861392328	text	adults
113	1.446728963974418	1.8725173324130224	1.4149376402798741	1.3954093464875121	1.8241694256037702	2.632690276934967	2.069306985636704	2.0192611170234653	text	adults
114	1.4264508816539023	1.7125152616631065	1.2742290211374425	1.3213856764844858	1.7454982898275186	2.520787829329954	1.6642530899616501	2.4470509608566284	text	adults
115	1.1415093908158878	1.6268689539973886	1.2789272387643562	1.3652905089182508	2.161677101219525	2.58607173758707	1.8797493911887642	2.1163323929213402	text	adults
116	1.3954304611598263	1.6776109976756934	1.3171730867788884	1.2860624530096114	1.8585514797053235	2.5287319478873376	1.948355512716866	2.703243883724137	text	adults
117	1.3313921250567873	1.6487997417387685	1.51723396253951	1.3533763340771319	1.5067340721541498	2.359799066712836	1.4993808822964874	2.07554288712237	text	adults
118	1.4573942031051383	1.6574568225816935	1.4180331354007316	1.254541003764842	1.6382368904101505	2.6885863464109363	1.8541400190306176	2.7299679594618196	text	adults
119	1.3802132709309975	1.7819942161860785	1.3701897707543842	1.3669012510086773	1.7826327582385133	2.5672393289374504	2.1202518403296633	2.8909385350021575	text	adults
120	1.3803474008097925	1.8363256908541152	1.4010351715843232	1.3259842034112173	1.9495030449643689	2.439682522974031	2.077243864282698	2.954555205303367	text	adults
121	1.445003773695407	1.6701407137547675	1.3748901846283728	1.5845901484257945	1.8462173257977965	2.674442153427106	1.711419030445827	2.2253597899591973	text	adults
122	1.3547374128713248	1.856534319345685	1.4779815143967865	1.5799057226467899	1.9287335512472092	2.851611162503989	1.6895804392358165	2.3300363043855064	text	adults
123	1.7182441352112758	1.9150669364762911	1.0368580154242908	1.445361499454441	2.288746379813844	2.3479849709570506	1.7650998190325522	1.9276276155699348	text	adults
124	1.7581257769731757	1.696294570633717	1.5234246869947614	1.4952786577682824	2.3864141941066475	2.3941635496273515	2.2430340031934852	2.2867860996093827	text	adults
125	1.5557036084499756	2.016041357619536	1.3528476222081833	1.2256112402802046	1.7858002831553246	2.3282023848841775	2.16851192051714	2.1186886421324678	text	adults
126	1.6849974004820445	1.8377505338814975	1.438861661227265	1.1902562265722239	1.8536882659339213	2.170296562049876	2.0729534226968718	1.9387276908424345	text	adults
127	1.5387211620208505	1.7457317597118032	1.379150866010474	1.2362005614941391	1.8196250085477146	2.719587192985053	2.4150593513069527	2.394189927345458	text	adults
128	1.536734419289423	1.691150422921734	1.3269323498696126	1.4351297140983457	1.8634030956569694	2.0789719684406465	2.50418173669328	2.0236403065259947	text	adults
129	1.4827129371396957	1.7213285445164823	1.3561593138510666	1.2910065616806545	1.9043289433130979	2.2264202866014173	2.452418412558748	2.4411412767562464	text	adults
130	1.556559117758069	1.6748889467971448	1.4251235758097458	1.3352924128111763	1.9125641486926446	2.634070298323768	2.3243080508530265	2.2544360890085415	text	adults
131	1.5638814014011204	1.9071438403524872	1.412657718646079	1.3937638543366047	1.9321654047511936	2.9466448445256717	1.874150275963183	2.2770689061343514	text	adults
132	1.5927629834586816	1.8355582256425502	1.5207690847071982	1.3478054647291227	1.8544972958224255	2.5583848979979384	2.0742818513203973	1.703457265287351	text	adults
133	1.5476364644445146	1.6960360556276304	1.4501218943950174	1.409068624993683	1.948819618010292	2.3216334580621405	1.7364691866919169	2.0946912477683934	text	adults
134	1.560116318272082	1.8297376949405146	1.2921552526153728	1.446147955242426	1.7595485120801948	2.3768579839911648	2.1217807152525254	1.9043032123245867	text	adults
135	1.4499930636684737	1.792798797605813	1.3113555709938032	1.5002302565764265	1.5399428179437686	2.0859291326445377	1.790350878039098	2.6721577121066544	text	adults
136	1.4745863477919174	1.89443141288683	1.436996651211829	1.3373889014415876	1.9687352318824185	2.4035519216144037	1.554365666063005	2.1934560435206905	text	adults
137	1.6253738182829198	1.9074568329878234	1.3703483951751658	1.4252854137946709	2.217842801732399	1.9053094444739793	1.6500576835574006	2.379085428573311	text	adults
138	1.3036584966403426	1.837738434342664	1.383966152327964	1.2958779904211168	1.2425379443411817	2.5679939918076067	1.9521203729398777	1.6057459570930954	text	adults
139	1.459621851089497	1.6580321254402752	1.3918461570196847	1.2305517761024847	1.518353211198433	2.309796159915878	2.4272066161986166	1.8537383449273916	text	adults
140	1.3969678211071184	1.6361360999765564	1.3550367621317903	1.3978166791293782	1.8717795149049397	2.913249700079485	1.6461925722813906	2.1665180753999485	text	adults
141	1.3882433084133659	1.5638561740176353	1.3151133348807515	1.2221375852163257	1.2087218545310223	2.3064509423058275	1.7521642891003315	1.691891696997515	text	adults
142	1.51478161399173	1.7294693815317475	1.457867701825109	1.5170396519019798	1.6842565551455078	2.0626526730439654	1.5104349007960796	2.133393238610815	text	adults
143	1.4020488878754225	1.7673938097230055	1.4578981440427197	1.3250160944298317	2.0936615509506433	2.6103735162880057	1.9470846356447271	1.9538674401648202	text	adults
144	1.4180196355428836	1.7151625650614222	1.2959546544695832	1.3258778022825906	1.8044262015269972	2.4486059954387813	2.0930327102602533	2.534389796271283	text	adults
145	1.2881163169044592	1.606126883580844	1.2990300541232602	1.2562130035963315	1.7270609478393248	2.4477819254792257	2.1245363272136903	1.9850795229555183	text	adults
146	1.5318660874028296	1.666807064812323	1.5461641082628663	1.2263099956214734	1.9802010907332384	2.4043931460107806	2.1696391497183125	2.4931426678510205	text	adults
147	1.5384638324917863	1.4991523589999864	1.1971812413049068	1.4184069212731742	1.603535651196251	2.283491735304902	1.7054318903476684	2.11012545763228	text	adults
148	1.362402861036524	2.005773954001376	1.2547349291710452	1.3744249281715646	1.8793323169839724	2.404598059823476	1.6785239085577088	1.7743124435846482	text	adults
149	1.2443165239549971	1.9734867694121476	1.3693122429473008	1.258391743320705	2.268426390131968	1.985622929822092	1.674297853519916	1.6862040658148838	text	adults
150	1.460227020871946	1.6290005566732684	1.3856094253143434	1.3323437352150995	1.9842708462109049	2.3248810711250156	1.9344243332489635	2.7045602223390084	text	adults
151	1.4195771020610424	1.6926885367101987	1.433446591657497	1.4024939217790608	2.177712547192247	2.1936743568956225	1.7662946061709472	2.6875526960908886	text	adults
152	1.5328679259935312	1.7274402967046316	1.3199301388985871	1.3771786838066264	1.2976564322663546	2.518589282181337	1.9237497491608804	2.4097682907371474	text	adults
153	1.5961050381829194	1.739398512598978	1.508305165107309	1.2694358553487426	1.9951889845341917	2.5976943613147663	1.5463723566497807	2.198761201291014	text	adults
