	a(ASL)	v(ASL)	experiment	age_code
0	1.8025295820929186	0.5885603332628989	trio	adults
1	1.8410774312991807	0.6200321880714628	trio	adults
2	1.7988612265153903	0.6253076078425236	trio	adults
3	1.8000964464338258	0.6763464117372661	trio	adults
4	1.7919635648819727	0.6605353690214825	trio	adults
5	1.7823102950917353	0.4871139352744046	trio	adults
6	1.7583965215538677	0.596476760389838	trio	adults
7	1.7643706487943982	0.6268521547654494	trio	adults
8	1.7618273725147358	0.384121588791303	trio	adults
9	1.7887188517926182	0.5248961628232782	trio	adults
10	1.7934328754752773	0.6485499308311568	trio	adults
11	1.8185011480764204	0.594544948427412	trio	adults
12	1.7376197368816138	0.5279980526675017	trio	adults
13	1.747274673898446	0.5510606166961337	trio	adults
14	1.7292643848795506	0.6907267471356905	trio	adults
15	1.7618363594083049	0.7025317136393479	trio	adults
16	1.742612577608093	0.4803576181191543	trio	adults
17	1.7217236170479115	0.6788829142810946	trio	adults
18	1.766191254366146	0.6068231804853901	trio	adults
19	1.7555275244546344	0.6498505862689601	trio	adults
20	1.7135368360976309	0.5948595099209922	trio	adults
21	1.7974940797078123	0.6341925345630345	trio	adults
22	1.80938610524609	0.6284898406118118	trio	adults
23	1.8007450937864602	0.3936567423355492	trio	adults
24	1.864149505132601	0.6079558176657512	trio	adults
25	1.7553200639431796	0.59078733354293	trio	adults
26	1.7454739608481429	0.5830110685001864	trio	adults
27	1.7964841206565012	0.6557364979077371	trio	adults
28	1.8219251470061977	0.695487770478654	trio	adults
29	1.8228540238635356	0.7229452562112296	trio	adults
30	1.8049034517461586	0.7071283721415219	trio	adults
31	1.7999986329718527	0.7653519213495492	trio	adults
32	1.730621914230096	0.7248584186156051	trio	adults
33	1.750997606843413	0.5857163866229154	trio	adults
34	1.77444030021439	0.5520568924103203	trio	adults
35	1.758254673744832	0.5789459852305402	trio	adults
36	1.746698414689512	0.7314194757429895	trio	adults
37	1.7522732112036181	0.6544783825350585	trio	adults
38	1.7099298628593478	0.6500142520743079	trio	adults
39	1.739505629685529	0.6082649598854611	trio	adults
40	1.6929774836566733	0.5863800957686901	trio	adults
41	1.7776726524688693	0.5499286380348398	trio	adults
42	1.7804038203876589	0.5303598163950629	trio	adults
43	1.8186131765336562	0.4580365527570302	trio	adults
44	1.8140762933538932	0.5003793574069322	trio	adults
45	1.7878332951530473	0.6219734761262576	trio	adults
46	1.7828713561748712	0.7894956102350772	trio	adults
47	1.7075240113737475	0.6528537858917045	trio	adults
48	1.7156954120385053	0.5551152284581934	trio	adults
49	1.8537545383226164	0.6381165143313846	trio	adults
50	1.773054655216247	0.6772636189259491	trio	adults
51	1.7311816857438072	0.6233093428349795	trio	adults
52	1.74389173386351	0.536229503418217	trio	adults
53	1.7699064660571682	0.5881305024064778	trio	adults
54	1.6992965773087485	0.75806621254876	trio	adults
55	1.8650946444576357	0.7021432622257016	trio	adults
56	1.833296634298681	0.6891040022844181	trio	adults
57	1.8324237406341994	0.7474174229659711	trio	adults
58	1.8489484729450638	0.6006287754470889	trio	adults
59	1.8013429647517214	0.5758583858000809	trio	adults
60	1.7690644483655082	0.6145523540701865	trio	adults
61	1.7359576036554452	0.7165072962760313	trio	adults
62	1.6481154522787484	0.5154331963722278	trio	adults
63	1.8199079059156174	0.6220687722338696	trio	adults
64	1.8221957168820524	0.49768297631217717	trio	adults
65	1.7170669287120068	0.7510038920174017	trio	adults
66	1.8293995156150356	0.685359521794324	trio	adults
67	1.732104661341668	0.7133233475658026	trio	adults
68	1.7710814140892612	0.7209063777196922	trio	adults
69	1.779745452878284	0.5841283828595736	trio	adults
70	1.7846370061404468	0.6355475074606254	trio	adults
71	1.696560231260287	0.7453882258031648	trio	adults
72	1.6651671057580053	0.6664258265891265	trio	adults
73	1.6784481794172663	0.5974830950228147	trio	adults
74	1.6514737630219238	0.6144776453744772	trio	adults
75	1.6277855996734765	0.641847869984485	trio	adults
76	1.65831517377762	0.680359745742541	trio	adults
77	1.746475987375874	0.6577648590768244	trio	adults
78	1.7443568463318886	0.5879399023203001	trio	adults
79	1.6921161411891863	0.5450398728208944	trio	adults
80	1.7765296798711974	0.42503607405209143	trio	adults
81	1.7664426391378891	0.7877119285337518	trio	adults
82	1.7543264660278541	0.5594181133668735	trio	adults
83	1.8461152367378857	0.5020908031158202	trio	adults
84	1.7586350786554596	0.6479718370688832	trio	adults
85	1.7828524166576598	0.6612318776186115	trio	adults
86	1.7815616803638876	0.8000480132883474	trio	adults
87	1.6862012911650799	0.6950512019710355	trio	adults
88	1.614919875255043	0.680128325347134	trio	adults
89	1.8707194138399301	0.6181940817206034	trio	adults
90	1.9150857378758377	0.6332590373208966	trio	adults
91	1.6370212243771658	0.5488285933957712	trio	adults
92	1.5842324254426092	0.5087430067992341	trio	adults
93	1.6611355416066322	0.5512776243340601	trio	adults
94	1.7531737780557985	0.9606036305502285	trio	adults
95	1.789514044943056	0.8790096660787688	trio	adults
96	1.7845310816000284	0.5902177202547391	trio	adults
97	1.8307018003768205	0.6122358518710904	trio	adults
98	1.8535852517095153	0.5852849860792404	trio	adults
99	1.795958608978255	0.7432852864584428	trio	adults
100	1.8055634016710196	0.6437838212969168	trio	adults
101	1.8051522631947163	0.6446946433466318	trio	adults
102	1.8669307691355552	0.4866844769484313	trio	adults
103	1.7631779073404648	0.634052346445958	trio	adults
104	1.7250222646393545	0.6043969152691571	trio	adults
105	1.7387214426272815	0.5715853201227947	trio	adults
106	1.7553367019522843	0.6447111386591583	trio	adults
107	1.7577924662178215	0.6345627095765854	trio	adults
