	a(gaze)	a(straight_ahead)	v(gaze)	v(straight_ahead)	experiment	age_code
0	1.018601603290584	0.9795351120245258	0.79159671560931	0.7008731757689333	gaze	children
1	1.0154840075936014	0.9512615863320281	0.9891976207915256	0.7375751251048246	gaze	children
2	1.007720321702464	0.9780182824321727	1.0550921875880883	0.500327581213116	gaze	children
3	1.0310797390883155	0.9878343753796317	0.9377857774326337	0.5230798026514683	gaze	children
4	1.0662550820332715	0.977083962585668	0.9479683886789656	0.5609936694103163	gaze	children
5	1.0564095897765862	0.9704536913132129	0.8366418010637177	0.5967838474946902	gaze	children
6	1.0547118632602324	0.9697112956794309	0.6421428289976346	0.45392533974390464	gaze	children
7	1.049315694513419	0.9648361681092432	0.6418761256783372	0.7560422835570986	gaze	children
8	1.046052423694611	0.962666030731269	0.5765847670956766	0.678037691606364	gaze	children
9	1.0238981278843295	0.9277356632850522	0.6883960853732312	0.7228061989793849	gaze	children
10	1.020653582118861	0.9074598388702333	0.8650536939662469	0.5829713293361584	gaze	children
11	1.0533809431553112	0.9086764292609163	0.8214719638017172	0.5610528461421869	gaze	children
12	1.070259340833987	0.9196500268560098	0.7626547838751223	0.4950476273859767	gaze	children
13	1.029351850178862	0.919562228468576	0.6887278023939007	0.488834320972902	gaze	children
14	1.0305091360803924	0.9138956451861551	0.49607112540759324	0.5205223977572023	gaze	children
15	0.9538985484201667	0.9091338473167532	0.7016245244532986	0.5855994061534687	gaze	children
16	0.9853887656690946	0.9497877415216007	0.8112914974469484	0.5268082585874201	gaze	children
17	0.970597256027333	0.9574382700233428	0.7984623541661519	0.7095236565643975	gaze	children
18	0.9687245065430135	0.9560191692903528	1.2250573634628967	0.7205515792260405	gaze	children
19	0.9994060126071401	0.9707508934002681	0.8670276785288028	0.5521952120888471	gaze	children
20	0.9983029035751413	0.9595866444818407	0.7977323835548142	0.9100990731536471	gaze	children
21	1.0105360667620662	1.0169464967823851	1.019413580153345	0.5137713852134019	gaze	children
22	0.9719790314520361	1.0122942626700184	0.6287712960054738	0.740445861341245	gaze	children
23	1.011512304006026	1.0087267262971154	0.8051210947775007	0.9011262590183227	gaze	children
24	1.0599136447617235	1.0205839270377506	0.6297069836202215	0.794323610881501	gaze	children
25	1.0847153071931341	1.0001999242006636	0.43776436778200734	0.9013617925540262	gaze	children
26	1.080210134264183	1.0058942920307035	0.46112687919812034	0.48721136587878155	gaze	children
27	1.0327683860641979	1.04595479160275	0.6455355381026444	0.5772175061167899	gaze	children
28	1.0459389740701615	1.0431041024846344	0.511212019252475	0.5461445174095126	gaze	children
29	1.0392826025225843	1.0284815632381703	0.7538783271194892	0.459465540855265	gaze	children
30	1.0065339882480504	1.0133751248793867	0.8562527299540718	0.8039631567741511	gaze	children
31	1.0217000355446155	1.0238161916300392	0.7909764952714698	0.8213954581135476	gaze	children
32	1.0377824972101986	1.0003891823046034	0.7648830736856433	0.684794789059907	gaze	children
33	1.0006065702564837	0.9850382575589932	0.9769810308904231	0.6724247276925279	gaze	children
34	1.0175559053936558	0.9961135882012806	0.8600046937442669	0.7822819950708684	gaze	children
35	1.021039225473837	1.0103992658952916	0.701444591310347	0.680516009587038	gaze	children
36	1.0468603646453731	1.0256344172269343	0.7726550678699661	0.8740227245484417	gaze	children
37	1.0264056516976314	1.0000170557644592	0.45051161327206324	0.7191292555503181	gaze	children
38	0.9550871744543311	1.002031125995318	0.6995208410227978	0.6318854814169473	gaze	children
39	0.9704557500771199	1.016274852444442	0.7868023830579522	0.8828889390686475	gaze	children
40	0.9868578557901386	0.989412565837882	0.6608616043915759	0.8534607976114653	gaze	children
41	0.9440910162785894	0.9792905622931354	0.647377321593792	0.6349843622310863	gaze	children
