	a(clear)	a(noise)	v(clear)	v(noise)	experiment	age_code
0	1.012610286424158	1.2219431514506924	0.4741901483839408	0.34686619307738664	noise	children
1	1.0750380484106161	1.2442583361940174	0.5496444418621241	0.5055564669897318	noise	children
2	1.1511650720201676	1.2070160980812805	0.6360786632106717	0.5099213704342531	noise	children
3	1.0243293812615932	1.2859139060706442	0.7000737369924549	0.5717126347290242	noise	children
4	0.9725296389156207	1.331324932926162	0.653216460290562	0.6845319646178807	noise	children
5	1.013874076660056	1.115955539323931	0.6354015258468326	0.5278599766710793	noise	children
6	1.0663868847732014	1.1770305765858566	0.7255843489822896	0.5727106924240202	noise	children
7	1.1052739806041947	1.2509714051681704	0.6907746718564752	0.3469090300401479	noise	children
8	1.1057039141922682	1.2694211071668657	0.7396771935317122	0.5250157167549216	noise	children
9	1.0534992576071645	1.2694451682640615	0.4748086231600381	0.7216128759082351	noise	children
10	1.1549041970229768	1.2778268305810099	0.45007008700233125	0.8382257346007925	noise	children
11	1.0701718315750124	1.2621870575686098	0.6245311962915903	0.702239667125788	noise	children
12	1.049297005081726	1.2833029756650427	0.6625539934576353	0.6839955396709025	noise	children
13	0.9961151221446337	1.2259866322563526	0.4550410284926566	0.5102572027985854	noise	children
14	0.9935661473295778	1.2965486474722125	0.5818898380028453	0.6998128931947742	noise	children
15	1.012231293174862	1.3040345577262755	0.5654313327065794	0.570870977174192	noise	children
16	1.0302851155951367	1.3107431959971207	0.7145975177048492	0.45449461477233305	noise	children
17	0.9972577186158174	1.345516401451779	1.004962636732671	0.5348238419412449	noise	children
18	1.0702976532837942	1.347409796833696	0.774498707729128	0.5507566188727799	noise	children
19	1.0866121126943789	1.3676716638598112	0.5640850158206008	0.545641140853547	noise	children
20	1.040048722009229	1.3683380167530632	0.5383608134649269	0.5811953806360615	noise	children
21	0.9797846277672998	1.388521905009904	0.3309393228979147	0.15349897603515178	noise	children
22	1.0075765006193256	1.367201405566569	0.5296199148961948	0.5448408950719825	noise	children
23	1.0162822898279982	1.3013451563359564	0.6088036113953963	0.4858207088826835	noise	children
24	0.971577165656685	1.3447737997639628	0.7745237508397693	0.552159506800507	noise	children
25	1.0590863249089244	1.2787102480607453	0.8539126106036499	0.5029928943963219	noise	children
26	0.9890949376094172	1.3829138864121306	0.9760003820201963	0.30173820938441115	noise	children
27	1.0226879516632428	1.3361452623767052	0.6070889648696491	0.6645836788140013	noise	children
28	1.0548409087277708	1.3783513387513773	0.580651344281875	0.7380533597744565	noise	children
29	1.0201358742846216	1.3839655718555097	0.6939054162778877	0.6935781644760524	noise	children
30	1.0901091004125285	1.3575511888811864	0.6980863391856154	0.7785544285435949	noise	children
31	1.0641780249837827	1.3460663639282235	0.6429752946171762	0.6026633509919394	noise	children
32	1.0220688439929801	1.3621774489815375	0.6569994704957565	0.6825336727122028	noise	children
33	1.0463446917877248	1.4419955800730238	0.39125441119310866	0.30697099744162315	noise	children
34	1.0436436995382339	1.4406489072526858	0.3012531460244935	0.6466128077351723	noise	children
35	1.0083919793416667	1.3345918180153702	0.4722427033605501	0.6451215680594791	noise	children
36	1.0642151214540374	1.24912383613554	0.5474963876287744	0.5425126973027972	noise	children
37	1.0991758295913021	1.3590388256730894	0.36634904037070903	0.621484408850786	noise	children
38	1.0041336270718235	1.427057102763083	0.4842112527745618	0.3891813275779319	noise	children
39	1.0228631993968873	1.4160291357618715	0.45693395886009003	0.4222786657472733	noise	children
40	1.0305007535368542	1.407183695710763	0.4344991165249711	0.6607711601309237	noise	children
41	1.0079253908525179	1.2354470538151194	0.5210594724584464	0.517316624981244	noise	children
42	0.9825267164339594	1.229005374421352	0.6991573326469555	0.6094986408045722	noise	children
43	0.9520234145095617	1.244850847374464	0.7403135517004896	0.6247652646176919	noise	children
44	0.9824359211351661	1.2703108305970243	0.7793140721388885	0.627670240024867	noise	children
45	0.9722019366616208	1.197315693401244	0.6121135337322249	0.6019238912656992	noise	children
46	0.9484648919453799	1.2682076459289966	0.43936792485225795	0.329987809244996	noise	children
47	1.011699154907393	1.278374099610476	0.6086570207408515	0.5626237565436616	noise	children
48	1.0298276067855157	1.2700351933333303	0.6000267377604215	0.7340019686489634	noise	children
49	1.0481640987456728	1.3862599948648209	0.6426061465289155	0.5876579763208948	noise	children
50	1.0191451373711207	1.2577018145985368	0.4360946102682468	0.6105456613289364	noise	children
51	1.0967083710592558	1.3520446181480914	0.3063290330130938	0.6446647877319492	noise	children
52	1.1870240724828107	1.3887533250408077	0.4902107292745603	0.8255552942148264	noise	children
53	1.0392683389474362	1.298901982361524	0.6152311838377884	0.7658753104995752	noise	children
54	1.135644986288136	1.268167822725076	0.39696014531592705	0.8699617259319794	noise	children
55	1.1002623514363665	1.2309190080949926	0.4751064176648787	0.729872800759977	noise	children
56	1.0335537236861345	1.3313483470291174	0.713744743195523	0.4729007366332311	noise	children
57	1.0409781557786024	1.3706441622144494	0.7613923340401905	0.5688809993112568	noise	children
58	1.1146792488716715	1.2533877237932336	0.7829875736019531	0.6891472506180226	noise	children
59	1.12728718366728	1.3650752748905965	0.5695537999939856	0.6127587441714644	noise	children
60	1.1473742061152503	1.3034509268543446	0.7396226299602611	0.6481802694393899	noise	children
61	1.0243672046232168	1.361823142418608	0.5513714463403051	0.5336399733824253	noise	children
62	0.9609407487010783	1.3248720970362984	0.7198431579638944	0.8108891281907322	noise	children
63	1.026104123417423	1.4234510143542058	0.7038057489682862	0.8119481829341192	noise	children
64	1.0939437378587427	1.2543338836541225	0.6095007678415928	0.5065213160256791	noise	children
