	a(ASL)	a(Face)	v(ASL)	v(Face)	experiment	age_code
0	1.8025295820929186	1.3007294820743358	0.5885603332628989	0.595025344980811	trio	children
1	1.8410774312991807	1.2692351707618406	0.6200321880714628	0.8137830511468134	trio	children
2	1.7988612265153903	1.4691068651801908	0.6253076078425236	0.708359198733668	trio	children
3	1.8000964464338258	1.2608732869071975	0.6763464117372661	0.7935655906268725	trio	children
4	1.7919635648819727	1.3470586754610157	0.6605353690214825	0.8637774246427083	trio	children
5	1.7823102950917353	1.3389863799848887	0.4871139352744046	0.6923654111746488	trio	children
6	1.7583965215538677	1.3444752801696143	0.596476760389838	0.6687087992175339	trio	children
7	1.7643706487943982	1.3073969038647597	0.6268521547654494	0.4736070379448287	trio	children
8	1.7618273725147358	1.3003945441010172	0.384121588791303	0.517299064000878	trio	children
9	1.7887188517926182	1.3091181998141428	0.5248961628232782	0.4549982731038246	trio	children
10	1.7934328754752773	1.426907842637827	0.6485499308311568	0.40925618775614925	trio	children
11	1.8185011480764204	1.2710243117143176	0.594544948427412	0.4821628772939905	trio	children
12	1.7376197368816138	1.3127859993273592	0.5279980526675017	0.4059221152290723	trio	children
13	1.747274673898446	1.3113299682851765	0.5510606166961337	0.5719202379588583	trio	children
14	1.7292643848795506	1.5060918655164954	0.6907267471356905	0.5980659577403051	trio	children
15	1.7618363594083049	1.31522801112538	0.7025317136393479	0.5921971939358728	trio	children
16	1.742612577608093	1.2904444426662305	0.4803576181191543	0.6702952154128198	trio	children
17	1.7217236170479115	1.2900059260182808	0.6788829142810946	0.6968380248705086	trio	children
18	1.766191254366146	1.2578194046177997	0.6068231804853901	0.6519307262997354	trio	children
19	1.7555275244546344	1.2788016875404569	0.6498505862689601	0.7268253307739827	trio	children
20	1.7135368360976309	1.2870995890439385	0.5948595099209922	0.6231034559152041	trio	children
21	1.7974940797078123	1.3025824421258876	0.6341925345630345	0.726006071363363	trio	children
22	1.80938610524609	1.3115911874213797	0.6284898406118118	0.6834444788017748	trio	children
23	1.8007450937864602	1.3549553635369243	0.3936567423355492	0.6322733716245594	trio	children
24	1.864149505132601	1.3262499301230597	0.6079558176657512	0.7211467223255964	trio	children
25	1.7553200639431796	1.3318338792184528	0.59078733354293	0.7346721028142278	trio	children
26	1.7454739608481429	1.375206958288342	0.5830110685001864	0.5469237523379166	trio	children
27	1.7964841206565012	1.356174165005494	0.6557364979077371	0.297047264449123	trio	children
28	1.8219251470061977	1.4480540714150938	0.695487770478654	0.60398588044054	trio	children
29	1.8228540238635356	1.407238838494122	0.7229452562112296	0.5785755225785829	trio	children
30	1.8049034517461586	1.4397101898810925	0.7071283721415219	0.5490755166151002	trio	children
31	1.7999986329718527	1.4051557255482545	0.7653519213495492	0.5874217068392419	trio	children
32	1.730621914230096	1.3218759004900074	0.7248584186156051	0.6451451968538477	trio	children
33	1.750997606843413	1.3218354147099056	0.5857163866229154	0.8392404469771806	trio	children
34	1.77444030021439	1.4066790842873538	0.5520568924103203	0.615449232806723	trio	children
35	1.758254673744832	1.364675520339205	0.5789459852305402	0.5323171945959518	trio	children
36	1.746698414689512	1.3731373775147553	0.7314194757429895	0.5695357011174332	trio	children
37	1.7522732112036181	1.350897807544392	0.6544783825350585	0.5487543832248682	trio	children
38	1.7099298628593478	1.2739772300116965	0.6500142520743079	0.5864629791222458	trio	children
39	1.739505629685529	1.2751320994656252	0.6082649598854611	0.517469069211386	trio	children
40	1.6929774836566733	1.309252465581454	0.5863800957686901	0.5276168954022264	trio	children
41	1.7776726524688693	1.2616800678895193	0.5499286380348398	0.6124024864512603	trio	children
42	1.7804038203876589	1.3576560365306145	0.5303598163950629	0.5745238031674277	trio	children
43	1.8186131765336562	1.3031900472925513	0.4580365527570302	0.5196018649999116	trio	children
44	1.8140762933538932	1.430566461997551	0.5003793574069322	0.6105078777990665	trio	children
45	1.7878332951530473	1.453871257392282	0.6219734761262576	0.5394970718309866	trio	children
46	1.7828713561748712	1.3109344044515927	0.7894956102350772	0.6424240112247475	trio	children
47	1.7075240113737475	1.2748504738372624	0.6528537858917045	0.7174436391061205	trio	children
48	1.7156954120385053	1.3666870720644504	0.5551152284581934	0.7356816356691659	trio	children
49	1.8537545383226164	1.5192821610618341	0.6381165143313846	0.7066734039318598	trio	children
50	1.773054655216247	1.462558344514804	0.6772636189259491	0.6392279314326117	trio	children
51	1.7311816857438072	1.326797209712925	0.6233093428349795	0.3827521503495622	trio	children
52	1.74389173386351	1.3538827621281706	0.536229503418217	0.5672324824337107	trio	children
53	1.7699064660571682	1.3514558242516383	0.5881305024064778	0.5754364943277887	trio	children
54	1.6992965773087485	1.39327625975469	0.75806621254876	0.4033150593156073	trio	children
55	1.8650946444576357	1.4078320048725788	0.7021432622257016	0.4589830281513652	trio	children
56	1.833296634298681	1.3998400670733486	0.6891040022844181	0.567654983636863	trio	children
57	1.8324237406341994	1.3875106658413605	0.7474174229659711	0.5634724098822066	trio	children
58	1.8489484729450638	1.4743286169097396	0.6006287754470889	0.4992072411884589	trio	children
59	1.8013429647517214	1.2936719514594155	0.5758583858000809	0.46242423147501516	trio	children
60	1.7690644483655082	1.4697778624007691	0.6145523540701865	0.5184658064216922	trio	children
61	1.7359576036554452	1.4628237445370798	0.7165072962760313	0.2942595763628662	trio	children
62	1.6481154522787484	1.4585257089409347	0.5154331963722278	0.39386731712489487	trio	children
63	1.8199079059156174	1.5191705561296556	0.6220687722338696	0.39984988493917173	trio	children
64	1.8221957168820524	1.5063672736016207	0.49768297631217717	0.39155738934617706	trio	children
