	a(gaze_clear)	a(gaze_noise)	a(straight_ahead_clear)	a(straight_ahead_noise)	v(gaze_clear)	v(gaze_noise)	v(straight_ahead_clear)	v(straight_ahead_noise)	experiment	age_code
0	2.0003232602569785	1.8535913719946078	1.6364820355395164	1.7977756788165666	1.4926130364325165	1.5051164210796955	2.024232612372123	2.3224102720609707	noise_gaze	adults
1	2.020977176923681	1.766204852834219	1.75879137158385	1.7724152973009992	1.5574832307170963	1.9890696682668574	1.7687853963734494	1.8012241704126517	noise_gaze	adults
2	1.8779144980661588	1.8632040689525724	1.9035947383704785	1.7234906171536026	1.7389897062483657	1.9784396280926502	1.696259625954707	2.1990657420379707	noise_gaze	adults
3	1.8674071782160653	1.8542887316338645	1.8792526625380324	1.6385067314388329	1.5791092941857494	1.9083072368140357	1.504384535283112	2.2271664870787378	noise_gaze	adults
4	1.9090947706548937	1.9008726183556934	1.8038508375552265	1.60663589773459	1.509248932532754	2.002647476191688	1.9882892831793966	1.894924860436831	noise_gaze	adults
5	1.7861676745334234	1.8658246218901344	1.7153057400757479	1.5870001764532997	1.727150868080475	2.2523576486052264	2.033951145047983	2.0125268004446717	noise_gaze	adults
6	1.8467354501740842	1.9618172314340427	1.757279146096715	1.576151893440007	1.244125793973046	2.2965654537293023	1.5236743102141328	1.7660208126112873	noise_gaze	adults
7	1.9766437832007973	1.77252582112632	1.7293342180620892	1.6373670755429324	1.1016835915802328	1.90880172997295	1.8245383506797632	1.9681891331476404	noise_gaze	adults
8	1.772065313000134	1.7825646140428852	1.5405621504687272	1.5689428688931044	1.3723376678055204	1.758985246799759	1.8146857821143607	2.0452084755655875	noise_gaze	adults
9	1.9615811565722858	1.9065441159039427	1.6880794931397556	1.8081158382399578	1.388183753782288	1.9127782561864122	2.026130400112134	2.3062424655223692	noise_gaze	adults
10	1.7830717505432259	1.8915621771338698	1.6471943101037325	1.6914422813303762	1.9955970063204653	2.056139883480781	1.7708110932060586	1.935332479676959	noise_gaze	adults
11	1.823047385956186	1.8837905449783314	1.769216535697556	1.6280450458635913	1.8455221907846822	2.191241712395834	2.0425768779107023	2.012562607852283	noise_gaze	adults
12	1.8644399286263573	1.90263650473598	1.656711369544884	1.6647501339946884	1.1670866521723537	1.8011970137701996	1.9526202163167632	1.6700488869009864	noise_gaze	adults
13	1.8627928798054747	1.9397164803739855	1.7054370657679998	1.7921228195311332	1.3462928012073414	1.7063246252494761	1.8383236920002544	1.737832698278864	noise_gaze	adults
14	1.741312059178194	1.9215792136024028	1.7019269271313417	1.8248858430330883	1.4817240523623825	1.9920260798467728	1.5889657197693643	1.9610047042353729	noise_gaze	adults
15	1.7035920649563459	1.8755959596373506	1.7261154579852291	1.7749213526755259	1.5861327168704633	1.4884386416191442	1.808650950349437	2.407897730553662	noise_gaze	adults
16	1.79578073516752	1.815387707567763	1.6642234702189667	1.702444512033533	1.6738100133218716	1.935593382884615	1.926444943821273	2.0558283238524413	noise_gaze	adults
17	1.6714352843663702	1.7829656805409155	1.6344939411293475	1.6890602128710335	1.4965835996040349	1.6119550994774061	1.905627724244125	1.8499082070601234	noise_gaze	adults
18	1.6842463640545624	1.8250974300444036	1.6572407297895781	1.730996510407125	1.4885355206275517	1.856038894002073	1.8115223200138995	1.9639107819990334	noise_gaze	adults
19	1.797724169976908	1.878407174073755	1.614281227262147	1.7388478263652845	1.5021076397806787	1.8576104396024133	1.765655474890815	1.9091469921575608	noise_gaze	adults
20	1.8936124259451317	1.8146114572847172	1.7203473129444258	1.5348002827046376	1.595915609385041	1.8760000038122715	1.7234736656815923	1.7039298333967259	noise_gaze	adults
21	1.838982026360107	1.9168583239387398	1.6116359163623162	1.7515742024206462	1.445537096796926	2.12987618977033	1.939716680567858	1.6039516778009577	noise_gaze	adults
22	1.9787453824036705	2.0072949596270253	1.5654886045207534	1.7546314930351408	1.3667457926076905	1.760907995151633	1.4653973974137764	1.9305520716286964	noise_gaze	adults
23	1.7092032971597457	1.9965412573731642	1.5684390414090805	1.7839371163836266	1.2551585644548284	2.123443534704476	1.9924432208448832	2.0076523307460805	noise_gaze	adults
24	1.9025943433160446	1.9953559091730086	1.6885723216503605	1.6406737798596676	1.286289186503212	1.911672148840409	1.6017452368926477	2.013462467489488	noise_gaze	adults
25	1.8462829319419733	2.0371714009298425	1.6470408564921168	1.7422863560501867	1.4078523697843026	1.9980335365948572	1.8938602062116394	1.8458595258368176	noise_gaze	adults
26	1.8665325746453254	1.863904761365747	1.5735172626311589	1.6269858794335934	1.5151808404495972	2.5266643067432817	1.6054703828917634	1.945616460775144	noise_gaze	adults
27	1.8078558157396107	1.8584518357030042	1.6748742593340922	1.5544684527779231	1.5760182592708376	2.018931297221937	1.7889090976458633	1.7132216395829551	noise_gaze	adults
28	1.9453861575927636	1.897699195998744	1.5744195148624345	1.6082289924440418	1.2009397409692	1.9599945085770298	1.8299073478614216	1.5586042081858367	noise_gaze	adults
29	1.8471549132466252	1.9353485223753957	1.65126496003256	1.6030244590175717	1.6883371006544357	2.3215454682582584	1.8807671302371225	1.8085314138835376	noise_gaze	adults
30	1.8370004260737707	2.0040500129981114	1.5779460131992913	1.6342871982869263	1.4792611663637214	2.1950462940909463	1.6859092903716795	1.996886350568264	noise_gaze	adults
31	1.8004854457187722	2.079593118136139	1.55709107081961	1.6575339907398743	1.6192853355318984	2.001288545557217	1.893006974658612	1.8088109583906957	noise_gaze	adults
32	1.798075758094999	2.0376417786237306	1.6400046417598948	1.6273727341773627	1.243821179874357	2.156225244283639	1.6904149125223051	1.737916359494821	noise_gaze	adults
33	1.7987040271179289	1.985034261906639	1.614612327184212	1.73942045257658	1.1846026947837531	1.9797056640444526	1.6925805381301748	1.855341292338019	noise_gaze	adults
34	1.8193028417934534	1.920580787338995	1.6118977322765788	1.645881234628326	1.5509516853818002	2.0724946305174874	1.625377907583644	2.017839005747875	noise_gaze	adults
35	1.9867818213435453	1.8453870808421091	1.6925155332229282	1.6535682362128674	1.1034321020405926	1.7868669300180664	2.075668837106018	1.9598367486182307	noise_gaze	adults
36	1.7971077667033657	1.7934123963655266	1.568482076781307	1.7683964438315742	1.3669343119186317	1.7948297948077707	1.6478973483159012	2.1817651861110567	noise_gaze	adults
37	1.9146127013511378	1.9772448667919988	1.6875595714205032	1.7797265687256485	1.7238971298350731	1.710191594095633	2.094854076345122	2.039217520640554	noise_gaze	adults
38	1.8015453766031118	1.8684266749979987	1.698727603933959	1.629099692065085	1.4668816766836195	1.5603591989097587	2.2207090340631264	2.032119620097338	noise_gaze	adults
39	1.7802734591144578	1.7348729915857766	1.6941265777324988	1.8064713323539303	1.6470165399587713	2.026704976794909	2.090724170100161	1.875440577445262	noise_gaze	adults
40	1.8319296178911515	1.7275969917741882	1.8773577995446744	1.8560912983636073	1.2932479857486388	1.813388203681961	2.1276373119318137	2.2031742579037505	noise_gaze	adults
41	1.9181352237895166	1.8101299501006003	1.6353285051161628	1.4840328248918584	1.5648610363699815	1.9798484761821527	1.729447973056505	1.948253759373804	noise_gaze	adults
42	1.9456286033952654	1.7643020253216064	1.746554495966966	1.8012948372867985	1.590252042088705	1.6109430139263503	2.0836622459540917	2.173228987075734	noise_gaze	adults
43	1.8831934507405579	1.724279271826366	1.826573529819557	1.6197736226013961	1.22517381001013	1.4955808378774216	1.8944060081176588	2.434913760447881	noise_gaze	adults
44	1.9900492691302316	1.7964595789200017	1.603119628704769	1.5969676378060442	1.49101273395204	1.8671213062296534	1.822891518845332	2.4501386181874167	noise_gaze	adults
45	1.9232731866772415	1.9352870745000397	1.72645784073317	1.747098750741878	1.4268830604285336	2.054426324705564	1.8714794823152971	1.8319412768055996	noise_gaze	adults
46	1.8581091270399441	1.8064828607004366	1.7155753579521824	1.6728302575136509	1.8420324012340217	1.7705102056619764	1.96822878241674	2.0838253896039416	noise_gaze	adults
47	2.0353533691729235	1.8551488172221446	1.4952262856914516	1.7388437504467809	1.2729890239846164	2.0559409584453143	1.5657033451081444	1.8182536169265786	noise_gaze	adults
48	1.995722259610353	1.9184924424976597	1.5182928978536843	1.5858357222752315	1.5462181281128304	1.906728069397671	1.877435518953943	1.4680379426321106	noise_gaze	adults
49	1.9815043189487787	1.9350945355919629	1.5978155421403455	1.6402011707583386	1.1956600730451987	2.0130686091076297	1.4302973671273729	1.836457505542735	noise_gaze	adults
50	1.8449635008139365	1.9743266469051397	1.608428872690528	1.5397535668297742	1.1656633156206226	1.7364394256869553	1.8413761114073635	1.7309571788707885	noise_gaze	adults
51	1.895841033823722	1.8462489138563984	1.60658297040347	1.5104619082886233	1.586399429121794	1.5108300596241189	1.765503524472646	1.9282505379667436	noise_gaze	adults
52	1.9319162649486357	1.703719821186199	1.6949638277468049	1.5396964420706682	1.6714359604929272	1.7286793598368428	1.612333546438417	1.7784245611329295	noise_gaze	adults
53	2.024812559567394	1.8202295251344904	1.557867016972434	1.6176791328168	1.6357939767785532	1.7122787475635974	1.735967892262218	1.7639596550336294	noise_gaze	adults
54	1.941770747765538	1.8171629402733864	1.7255979326774193	1.5961100590059365	1.5891613344490398	1.5032802010919772	1.8394820979430946	1.8448384395588295	noise_gaze	adults
55	1.89131670037888	1.8433920860754434	1.875780338414184	1.6381196578263273	1.643407470725962	1.728774538267596	1.967513493168151	1.8786491385002633	noise_gaze	adults
56	1.8537406318069003	1.6842085163055396	1.892098950440301	1.6145657128211672	1.1879049915954434	2.055621483871879	1.5316504775937396	1.790559675270118	noise_gaze	adults
57	1.8158436718545077	1.6555156445608399	1.8033325208746303	1.6504401872831784	1.1736606276985342	1.9422162809023846	1.8712403273358897	1.694253283452156	noise_gaze	adults
58	1.9696707502299173	1.7531782037973476	1.5984366300445276	1.6788278249818251	1.5747636607709743	1.9259371515618569	2.0876505893412753	1.7036974072026516	noise_gaze	adults
59	1.9089871252931048	1.7592399841244915	1.7293002102213684	1.6397535436632156	1.4396177406695103	1.9652850130807067	1.9504386021790827	1.750920918367464	noise_gaze	adults
60	1.9821472030090945	1.7445265679267021	1.674283092414837	1.7253127720651706	1.4053946272664928	1.265913333171327	1.7386159079633443	2.195834913557572	noise_gaze	adults
61	1.905619258694653	1.7307486729098085	1.6635144276589158	1.6627171289108102	1.4873018893537155	1.7331829019152234	1.7934520615212293	1.540071310143374	noise_gaze	adults
62	1.8338685805205472	1.8640242496898998	1.829781744238828	1.512738588765953	1.5662914130502328	1.787956542777546	1.5301033722635489	1.9663769107107303	noise_gaze	adults
63	1.8919957693553486	1.7946332800396856	1.9035946564048103	1.7406950160444672	1.5694934102175537	1.8471537947283179	2.0327646702307884	1.7056881605598688	noise_gaze	adults
64	1.8962451893546814	1.6730026614791713	1.7495295814646243	1.488047029920796	1.2438298081671613	1.7076358164744818	1.514457434292483	1.9978990176245917	noise_gaze	adults
65	1.986863495024352	1.8371450825829876	1.6212910547888444	1.7958614459367186	1.5085028385755708	1.4778962014948391	1.9974176846827172	1.707423391655088	noise_gaze	adults
66	2.0155285877063425	1.8409007217395463	1.6639739814698116	1.63089407476826	1.3232859632279301	1.7779681454174927	1.8388275218152363	1.8461444158330393	noise_gaze	adults
67	2.034562672764851	1.7850126928135341	1.7112115870441658	1.6396485999892794	1.5362644500585687	2.102973293314986	1.8942640942455264	1.9683392882097104	noise_gaze	adults
68	1.8600306230878239	1.8717051362219965	1.7025569391312874	1.539513061502239	1.5257767065515966	1.8650497624786169	1.7847776293984325	1.655964618829275	noise_gaze	adults
69	2.0255823609923453	1.8643243050339573	1.6490121077428164	1.5339667927948584	1.6542507989632445	1.6881611558880236	1.7458939166427736	1.8159316025006904	noise_gaze	adults
70	1.8953605625717505	1.885989620033985	1.744272248281758	1.5638892082154536	1.1873104852457272	1.9469624080861834	1.765682605802549	1.8637743060336003	noise_gaze	adults
71	1.8523101517008778	1.8393277952951983	1.694263263807921	1.5616779112519201	1.5938932642882697	1.7293762120560183	1.948511612892118	2.200208969724427	noise_gaze	adults
72	1.7779791908855382	1.9183760565414805	1.7367181434729555	1.7162333996388923	1.763776787157826	1.7766014229970803	1.5804962896573833	2.033328190944036	noise_gaze	adults
73	2.015450687009091	2.022395647470862	1.5792484896370147	1.6937724817543403	1.5194483498360825	1.8427890356919643	1.7244728422074964	2.1572531391470378	noise_gaze	adults
74	1.7734970299418849	1.9705239521257294	1.6252076624778131	1.6662403936042152	1.618945839060481	1.9062317727701537	2.0093750505485293	1.6844972934282152	noise_gaze	adults
75	1.9124562638264437	1.8286269200822902	1.7283283640326004	1.6692024647193904	1.4859365868524996	1.8314812444203827	1.7964683331472986	2.049922270954474	noise_gaze	adults
76	1.952845229256724	1.839432985583991	1.659049255097331	1.5795861601581889	1.4342048894063324	1.8820826317095347	1.775458819961909	2.029079483158594	noise_gaze	adults
