subid,tr.num,condition_long,correct,RT,condition,rt,guess,guess_num,ucl_bound,ewma_param,param_value
9,52,gaze_clear,1,0.47299999999999986,gaze_clear,0.47,response,1,0.040000000000000036,cs,0.63
10,54,gaze_clear,1,0.4740000000000002,gaze_clear,0.47,response,1,0.040000000000000036,cs,0.63
4,16,gaze_clear,1,0.4740000000000002,gaze_clear,0.47,response,1,0.050000000000000044,cs,0.64
13,17,gaze_clear,0,0.47500000000000053,gaze_clear,0.48,response,1,0.040000000000000036,cs,0.63
7,5,gaze_clear,1,0.47500000000000053,gaze_clear,0.48,response,1,0.050000000000000044,cs,0.64
8,12,gaze_clear,1,0.476,gaze_clear,0.48,response,1,0.050000000000000044,cs,0.64
12,42,gaze_clear,0,0.5019999999999998,gaze_clear,0.5,response,1,0.040000000000000036,cs,0.63
10,57,gaze_clear,1,0.5030000000000001,gaze_clear,0.5,response,1,0.050000000000000044,cs,0.64
7,14,gaze_clear,1,0.5030000000000001,gaze_clear,0.5,response,1,0.050000000000000044,cs,0.64
8,13,gaze_clear,1,0.5030000000000001,gaze_clear,0.5,response,1,0.050000000000000044,cs,0.64
9,57,gaze_clear,1,0.508,gaze_clear,0.51,response,1,0.06000000000000005,cs,0.65
4,8,gaze_clear,1,0.5099999999999998,gaze_clear,0.51,response,1,0.06000000000000005,cs,0.65
10,55,gaze_clear,1,0.5350000000000001,gaze_clear,0.54,response,1,0.06000000000000005,cs,0.65
2,45,gaze_clear,1,0.5350000000000001,gaze_clear,0.54,response,1,0.07000000000000006,cs,0.66
6,5,gaze_clear,1,0.5359999999999996,gaze_clear,0.54,response,1,0.07000000000000006,cs,0.66
12,47,gaze_clear,1,0.5360000000000005,gaze_clear,0.54,response,1,0.07000000000000006,cs,0.66
5,2,gaze_clear,1,0.5369999999999999,gaze_clear,0.54,response,1,0.08000000000000007,cs,0.67
8,15,gaze_clear,1,0.5369999999999999,gaze_clear,0.54,response,1,0.08000000000000007,cs,0.67
10,50,gaze_clear,1,0.5380000000000003,gaze_clear,0.54,response,1,0.08000000000000007,cs,0.67
2,33,gaze_clear,1,0.5389999999999997,gaze_clear,0.54,response,1,0.09000000000000008,cs,0.68
11,25,gaze_clear,1,0.54,gaze_clear,0.54,response,1,0.09000000000000008,cs,0.68
2,48,gaze_clear,1,0.54,gaze_clear,0.54,response,1,0.09000000000000008,cs,0.68
8,4,gaze_clear,1,0.54,gaze_clear,0.54,response,1,0.09999999999999998,cs,0.69
10,53,gaze_clear,1,0.5410000000000004,gaze_clear,0.54,response,1,0.09999999999999998,cs,0.69
2,47,gaze_clear,1,0.5419999999999998,gaze_clear,0.54,response,1,0.09999999999999998,cs,0.69
5,5,gaze_clear,1,0.5419999999999998,gaze_clear,0.54,response,1,0.10999999999999999,cs,0.7
10,58,gaze_clear,1,0.5420000000000007,gaze_clear,0.54,response,1,0.10999999999999999,cs,0.7
11,19,gaze_clear,1,0.5420000000000007,gaze_clear,0.54,response,1,0.09999999999999998,cs,0.7
2,42,gaze_clear,1,0.5429999999999993,gaze_clear,0.54,response,1,0.10999999999999999,cs,0.71
4,3,gaze_clear,1,0.5679999999999996,gaze_clear,0.57,response,1,0.10999999999999999,cs,0.71
7,13,gaze_clear,1,0.5679999999999996,gaze_clear,0.57,response,1,0.10999999999999999,cs,0.71
2,34,gaze_clear,1,0.569,gaze_clear,0.57,response,1,0.10999999999999999,cs,0.71
8,7,gaze_clear,1,0.5700000000000003,gaze_clear,0.57,response,1,0.12,cs,0.72
12,40,gaze_clear,1,0.5709999999999997,gaze_clear,0.57,response,1,0.12,cs,0.72
9,49,gaze_clear,1,0.5710000000000006,gaze_clear,0.57,response,1,0.12,cs,0.72
2,35,gaze_clear,1,0.5730000000000004,gaze_clear,0.57,response,1,0.13,cs,0.73
8,5,gaze_clear,1,0.5730000000000004,gaze_clear,0.57,response,1,0.13,cs,0.73
5,3,gaze_clear,0,0.5739999999999998,gaze_clear,0.57,response,1,0.12,cs,0.72
11,26,gaze_clear,1,0.5740000000000007,gaze_clear,0.57,response,1,0.12,cs,0.72
13,31,gaze_clear,1,0.5750000000000002,gaze_clear,0.58,response,1,0.13,cs,0.73
2,44,gaze_clear,1,0.5750000000000002,gaze_clear,0.58,response,1,0.13,cs,0.73
8,11,gaze_clear,1,0.5750000000000002,gaze_clear,0.58,response,1,0.13,cs,0.73
11,29,gaze_clear,1,0.5760000000000005,gaze_clear,0.58,response,1,0.13,cs,0.73
7,4,gaze_clear,1,0.6029999999999998,gaze_clear,0.6,response,1,0.14,cs,0.74
