subid,tr.num,condition,correct,RT,rt,guess,guess_num,ucl_bound,ewma_param,param_value
11_16_04,69,bullseye,0,0.2570000000000001,0.26,guess,0,0.18,cs,0.41
10_20_01,66,bullseye,0,0.2599999999999998,0.26,guess,0,0.18,cs,0.41
10_20_01,59,bullseye,1,0.2629999999999999,0.26,guess,0,0.16999999999999998,cs,0.42
10_20_01,67,bullseye,0,0.2629999999999999,0.26,guess,0,0.18,cs,0.41
10_20_02,59,bullseye,0,0.2629999999999999,0.26,guess,0,0.18,cs,0.41
10_20_02,68,bullseye,0,0.2629999999999999,0.26,guess,0,0.18999999999999995,cs,0.4
11_02_02,48,bullseye,0,0.2629999999999999,0.26,guess,0,0.18999999999999995,cs,0.4
11_02_04,55,bullseye,0,0.2629999999999999,0.26,guess,0,0.18999999999999995,cs,0.4
11_02_04,69,bullseye,0,0.2629999999999999,0.26,guess,0,0.19999999999999996,cs,0.39
11_10_05,39,bullseye,1,0.2629999999999999,0.26,guess,0,0.18999999999999995,cs,0.4
10_20_02,57,bullseye,0,0.27700000000000014,0.28,guess,0,0.19999999999999996,cs,0.39
11_02_04,51,bullseye,0,0.27700000000000014,0.28,guess,0,0.19999999999999996,cs,0.39
10_20_06,69,bullseye,1,0.2869999999999999,0.29,guess,0,0.18999999999999995,cs,0.4
10_20_06,71,bullseye,1,0.2869999999999999,0.29,guess,0,0.18999999999999995,cs,0.4
11_02_02,29,bullseye,0,0.2869999999999999,0.29,guess,0,0.18999999999999995,cs,0.4
11_02_02,37,bullseye,1,0.29000000000000004,0.29,guess,0,0.18999999999999995,cs,0.4
11_02_04,50,bullseye,1,0.29000000000000004,0.29,guess,0,0.18,cs,0.41
11_16_01,56,bullseye,0,0.29000000000000004,0.29,guess,0,0.18,cs,0.41
10_20_06,59,bullseye,0,0.29300000000000015,0.29,guess,0,0.18999999999999995,cs,0.4
11_02_02,44,bullseye,1,0.29300000000000015,0.29,guess,0,0.18,cs,0.41
11_16_04,54,bullseye,1,0.29300000000000015,0.29,guess,0,0.18,cs,0.41
10_20_01,61,bullseye,0,0.29700000000000015,0.3,guess,0,0.19,cs,0.41
11_02_02,36,bullseye,1,0.29700000000000015,0.3,guess,0,0.18,cs,0.42
11_02_05,58,bullseye,1,0.29700000000000015,0.3,guess,0,0.18,cs,0.42
11_02_07,43,bullseye,1,0.29700000000000015,0.3,guess,0,0.16999999999999998,cs,0.43
11_16_04,70,bullseye,1,0.31000000000000005,0.31,guess,0,0.16999999999999998,cs,0.43
11_02_08,31,bullseye,1,0.31999999999999984,0.32,guess,0,0.15999999999999998,cs,0.44
11_16_01,59,bullseye,1,0.31999999999999984,0.32,guess,0,0.15999999999999998,cs,0.44
11_16_05,47,bullseye,1,0.31999999999999984,0.32,guess,0,0.14999999999999997,cs,0.45
10_20_01,60,bullseye,0,0.3230000000000004,0.32,guess,0,0.15999999999999998,cs,0.44
10_20_06,55,bullseye,1,0.3230000000000004,0.32,guess,0,0.14999999999999997,cs,0.45
11_02_07,46,bullseye,1,0.3230000000000004,0.32,guess,0,0.13999999999999996,cs,0.46
11_02_02,28,bullseye,0,0.32699999999999996,0.33,guess,0,0.14999999999999997,cs,0.45
10_20_04,49,bullseye,0,0.33000000000000007,0.33,guess,0,0.14999999999999997,cs,0.45
10_20_05,71,bullseye,1,0.33000000000000007,0.33,guess,0,0.14999999999999997,cs,0.45
11_16_04,67,bullseye,0,0.33000000000000007,0.33,guess,0,0.14999999999999997,cs,0.45
10_20_04,64,bullseye,0,0.34299999999999997,0.34,guess,0,0.15999999999999998,cs,0.44
11_02_08,33,bullseye,1,0.34299999999999997,0.34,guess,0,0.14999999999999997,cs,0.45
11_16_01,54,bullseye,1,0.34299999999999997,0.34,guess,0,0.14999999999999997,cs,0.45
10_20_06,63,bullseye,1,0.35299999999999976,0.35,guess,0,0.13999999999999996,cs,0.46
11_02_04,61,bullseye,1,0.35299999999999976,0.35,guess,0,0.13,cs,0.47
10_20_01,70,bullseye,1,0.3570000000000002,0.36,guess,0,0.13,cs,0.47
10_20_04,54,bullseye,1,0.3570000000000002,0.36,guess,0,0.12,cs,0.48
10_20_06,57,bullseye,1,0.3570000000000002,0.36,guess,0,0.12,cs,0.48
11_10_04,48,bullseye,0,0.3570000000000002,0.36,guess,0,0.12,cs,0.48
11_10_05,41,bullseye,1,0.3599999999999999,0.36,guess,0,0.12,cs,0.48
11_16_01,50,bullseye,1,0.3599999999999999,0.36,guess,0,0.10999999999999999,cs,0.49
11_16_03,49,bullseye,1,0.3599999999999999,0.36,guess,0,0.10999999999999999,cs,0.49
10_20_06,65,bullseye,1,0.363,0.36,guess,0,0.09999999999999998,cs,0.5
11_02_02,33,bullseye,0,0.363,0.36,guess,0,0.10999999999999999,cs,0.49
11_02_05,55,bullseye,1,0.363,0.36,guess,0,0.09999999999999998,cs,0.5
