subid,tr.num,noise_condition,correct,age,age_group,target_image,RT,condition,rt,guess,guess_num,ucl_bound,ewma_param,param_value
46,9,clear,0,1836,5,bunny,0.17100000000000026,clear,0.17,guess,0,0.10000000000000003,cs,0.46
18,13,clear,0,1603,4,cookie,0.1719999999999997,clear,0.17,guess,0,0.11000000000000004,cs,0.45
2,26,clear,0,1810,4,cookie,0.1719999999999997,clear,0.17,guess,0,0.11000000000000004,cs,0.45
2,29,clear,0,1810,4,bottle,0.1719999999999997,clear,0.17,guess,0,0.12000000000000005,cs,0.44
24,8,clear,1,1288,3,cookie,0.1719999999999997,clear,0.17,guess,0,0.11000000000000004,cs,0.45
9,10,clear,0,1744,4,cookie,0.1719999999999997,clear,0.17,guess,0,0.11000000000000004,cs,0.45
35,19,clear,0,1833,5,boat,0.17300000000000004,clear,0.17,guess,0,0.12000000000000005,cs,0.44
33,2,clear,1,1870,5,juice,0.17599999999999927,clear,0.18,guess,0,0.11000000000000004,cs,0.45
11,11,clear,0,1695,4,juice,0.20199999999999996,clear,0.2,guess,0,0.12000000000000005,cs,0.44
18,12,clear,1,1603,4,bunny,0.20199999999999996,clear,0.2,guess,0,0.11000000000000004,cs,0.45
5,17,clear,1,1962,5,shoe,0.20199999999999996,clear,0.2,guess,0,0.11000000000000004,cs,0.45
31,20,clear,0,1289,3,juice,0.2029999999999994,clear,0.2,guess,0,0.11000000000000004,cs,0.45
45,3,clear,1,1957,5,cookie,0.20500000000000007,clear,0.21,guess,0,0.11000000000000004,cs,0.45
45,7,clear,0,1957,5,bottle,0.20500000000000007,clear,0.21,guess,0,0.11000000000000004,cs,0.45
46,8,clear,1,1836,5,chicken,0.20500000000000007,clear,0.21,guess,0,0.10000000000000003,cs,0.46
15,31,clear,1,1325,3,cookie,0.20900000000000052,clear,0.21,guess,0,0.10000000000000003,cs,0.46
3,17,clear,1,1920,5,juice,0.20900000000000052,clear,0.21,guess,0,0.09000000000000008,cs,0.47
1,23,clear,0,1770,4,bottle,0.23399999999999999,clear,0.23,guess,0,0.10000000000000003,cs,0.46
35,21,clear,1,1833,5,chicken,0.23399999999999999,clear,0.23,guess,0,0.09000000000000008,cs,0.47
8,21,clear,0,1367,3,chicken,0.23399999999999999,clear,0.23,guess,0,0.10000000000000003,cs,0.46
36,16,clear,0,1160,3,shoe,0.23500000000000032,clear,0.24,guess,0,0.10000000000000003,cs,0.46
43,23,clear,1,1413,3,cookie,0.23500000000000032,clear,0.24,guess,0,0.10000000000000003,cs,0.46
24,15,clear,0,1288,3,bunny,0.2370000000000001,clear,0.24,guess,0,0.10000000000000003,cs,0.46
2,24,clear,0,1810,4,chicken,0.23799999999999955,clear,0.24,guess,0,0.11000000000000004,cs,0.45
24,16,clear,0,1288,3,cookie,0.23799999999999955,clear,0.24,guess,0,0.11000000000000004,cs,0.45
28,6,clear,0,1418,3,bottle,0.23799999999999955,clear,0.24,guess,0,0.12000000000000005,cs,0.44
