subid,tr.num,condition,dot,gender,age,notes,order,keep,reason_excluded,response,response_onset_type,rt,shift_type,shift_accuracy
10_20_03,71,bullseye,10/20/16,m,18-21,great,1,include,NA,center,sentence,2.897,C_T,correct
10_20_03,72,bullseye,10/20/16,m,18-21,great,1,include,NA,center,center.fixation,3.5999999999999996,C_T,correct
10_20_03,72,bullseye,10/20/16,m,18-21,great,1,include,NA,center,noun,1.3299999999999996,C_T,correct
10_20_03,72,bullseye,10/20/16,m,18-21,great,1,include,NA,center,sentence,3.0699999999999994,C_T,correct
10_20_03,73,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,center.fixation,2.5,C_T,correct
10_20_03,73,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,noun,0.41000000000000014,C_T,correct
10_20_03,73,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,sentence,2.37,C_T,correct
10_20_03,74,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,center.fixation,2.867,C_T,correct
10_20_03,74,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,noun,0.597,C_T,correct
10_20_03,74,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,sentence,2.3369999999999997,C_T,correct
10_20_03,75,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,center.fixation,3.0,C_T,correct
10_20_03,75,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,noun,0.4900000000000002,C_T,correct
10_20_03,75,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,sentence,2.5,C_T,correct
10_20_03,76,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,center.fixation,3.2670000000000003,C_T,correct
10_20_03,76,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,noun,0.7270000000000003,C_T,correct
10_20_03,76,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,sentence,2.9370000000000003,C_T,correct
10_20_03,77,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,center.fixation,3.0999999999999996,C_T,correct
10_20_03,77,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,noun,0.8299999999999996,C_T,correct
10_20_03,77,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,sentence,2.5699999999999994,C_T,correct
10_20_03,78,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,center.fixation,2.967,C_T,correct
10_20_03,78,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,noun,0.7869999999999999,C_T,correct
10_20_03,78,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,sentence,2.697,C_T,correct
10_20_03,79,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,center.fixation,2.733,C_T,correct
10_20_03,79,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,noun,0.4630000000000001,C_T,correct
10_20_03,79,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,sentence,2.563,C_T,correct
10_20_03,80,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,center.fixation,2.667,C_T,correct
10_20_03,80,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,noun,0.577,C_T,correct
10_20_03,80,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,sentence,2.537,C_T,correct
10_20_03,81,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,center.fixation,2.667,C_T,correct
10_20_03,81,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,noun,0.3969999999999998,C_T,correct
10_20_03,81,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,sentence,2.497,C_T,correct
10_20_03,82,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,center.fixation,3.0330000000000004,C_D,incorrect
10_20_03,82,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,noun,0.5230000000000006,C_D,incorrect
10_20_03,82,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,sentence,2.5330000000000004,C_D,incorrect
10_20_03,83,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,center.fixation,3.3,C_T,correct
10_20_03,83,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,noun,0.7599999999999998,C_T,correct
10_20_03,83,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,sentence,2.9699999999999998,C_T,correct
10_20_03,84,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,center.fixation,3.2,C_T,correct
10_20_03,84,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,noun,0.6900000000000004,C_T,correct
10_20_03,84,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,sentence,2.7,C_T,correct
10_20_03,85,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,center.fixation,3.067,C_T,correct
10_20_03,85,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,noun,0.5570000000000004,C_T,correct
10_20_03,85,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,sentence,2.567,C_T,correct
10_20_03,86,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,center.fixation,3.067,C_T,correct
10_20_03,86,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,noun,0.7970000000000002,C_T,correct
10_20_03,86,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,sentence,2.8970000000000002,C_T,correct
10_20_03,87,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,center.fixation,2.7,C_T,correct
10_20_03,87,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,noun,0.52,C_T,correct
10_20_03,87,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,sentence,2.43,C_T,correct
10_20_03,88,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,center.fixation,3.0,C_T,correct
10_20_03,88,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,noun,0.73,C_T,correct
10_20_03,88,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,sentence,2.4699999999999998,C_T,correct
10_20_03,89,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,center.fixation,2.7,C_T,correct
10_20_03,89,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,noun,0.6100000000000003,C_T,correct
10_20_03,89,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,sentence,2.5700000000000003,C_T,correct
10_20_03,90,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,center.fixation,2.767,C_T,correct
10_20_03,90,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,noun,0.5869999999999997,C_T,correct
10_20_03,90,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,sentence,2.497,C_T,correct
10_20_03,91,text-no-audio,10/20/16,m,18-21,great,1,include,NA,target,center.fixation,0.5329999999999999,T_C,incorrect
10_20_03,91,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,noun,0.44300000000000006,C_T,correct
10_20_03,91,text-no-audio,10/20/16,m,18-21,great,1,include,NA,target,sentence,0.403,T_C,incorrect
10_20_03,92,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,center.fixation,2.933,C_T,correct
10_20_03,92,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,noun,0.6629999999999998,C_T,correct
10_20_03,92,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,sentence,2.763,C_T,correct
10_20_03,93,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,center.fixation,3.167,C_D,incorrect
10_20_03,93,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,noun,0.6269999999999998,C_D,incorrect
10_20_03,93,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,sentence,2.8369999999999997,C_D,incorrect
10_20_03,94,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,center.fixation,3.0,C_T,correct
10_20_03,94,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,noun,0.8199999999999998,C_T,correct
10_20_03,94,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,sentence,2.73,C_T,correct
10_20_03,95,text-no-audio,10/20/16,m,18-21,great,1,include,NA,distracter,center.fixation,0.7,D_C,incorrect
10_20_03,95,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,noun,0.7270000000000003,C_T,correct
10_20_03,95,text-no-audio,10/20/16,m,18-21,great,1,include,NA,distracter,sentence,0.3699999999999999,D_C,incorrect
10_20_03,96,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,center.fixation,2.9,C_T,correct
10_20_03,96,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,noun,0.6299999999999999,C_T,correct
