<<<<<<< HEAD
<<<<<<< HEAD
subid,tr.num,shift_accuracy,rt,response_onset_type,condition,correct,RT,guess,guess_num,ucl_bound,ewma_param,param_value
10_20_01,62,incorrect,0.04,noun,bullseye,0.0,0.04300000000000015,guess,0.0,0.010000000000000009,cs,0.5
10_20_05,63,incorrect,0.04,noun,bullseye,0.0,0.04300000000000015,guess,0.0,0.030000000000000027,cs,0.49
10_20_01,54,correct,0.05,noun,bullseye,1.0,0.052999999999999936,guess,0.0,0.020000000000000018,cs,0.5
11_10_03,37,correct,0.06,noun,bullseye,1.0,0.057000000000000384,guess,0.0,0.020000000000000018,cs,0.5
10_20_01,53,incorrect,0.06,noun,bullseye,0.0,0.06000000000000005,guess,0.0,0.030000000000000027,cs,0.5
10_20_01,71,correct,0.06,noun,bullseye,1.0,0.06000000000000005,guess,0.0,0.030000000000000027,cs,0.5
10_20_06,68,incorrect,0.06,noun,bullseye,0.0,0.06000000000000005,guess,0.0,0.030000000000000027,cs,0.5
11_02_05,53,incorrect,0.06,noun,bullseye,0.0,0.06000000000000005,guess,0.0,0.040000000000000036,cs,0.49
11_16_01,49,incorrect,0.06,noun,bullseye,0.0,0.06000000000000005,guess,0.0,0.050000000000000044,cs,0.49
10_20_01,52,incorrect,0.06,noun,bullseye,0.0,0.06300000000000017,guess,0.0,0.06000000000000005,cs,0.48
10_20_01,69,correct,0.06,noun,bullseye,1.0,0.06300000000000017,guess,0.0,0.050000000000000044,cs,0.49
10_20_02,60,incorrect,0.06,noun,bullseye,0.0,0.06300000000000017,guess,0.0,0.06000000000000005,cs,0.48
10_20_02,72,incorrect,0.06,noun,bullseye,0.0,0.06300000000000017,guess,0.0,0.06000000000000005,cs,0.48
11_16_01,51,incorrect,0.06,noun,bullseye,0.0,0.06300000000000017,guess,0.0,0.07000000000000006,cs,0.47
10_20_01,49,incorrect,0.08,noun,bullseye,0.0,0.07699999999999996,guess,0.0,0.08000000000000007,cs,0.47
11_02_02,47,incorrect,0.08,noun,bullseye,0.0,0.07699999999999996,guess,0.0,0.09000000000000002,cs,0.46
11_02_08,46,incorrect,0.08,noun,bullseye,0.0,0.07699999999999996,guess,0.0,0.09000000000000002,cs,0.46
10_20_01,65,incorrect,0.09,noun,bullseye,0.0,0.08699999999999974,guess,0.0,0.10000000000000003,cs,0.45
10_20_01,55,incorrect,0.09,noun,bullseye,0.0,0.09299999999999997,guess,0.0,0.10000000000000003,cs,0.45
11_10_03,28,incorrect,0.09,noun,bullseye,0.0,0.09299999999999997,guess,0.0,0.11000000000000004,cs,0.44
10_20_04,58,incorrect,0.1,noun,bullseye,0.0,0.09699999999999998,guess,0.0,0.11000000000000004,cs,0.44
11_02_02,45,incorrect,0.1,noun,bullseye,0.0,0.09699999999999998,guess,0.0,0.12000000000000005,cs,0.43
11_16_01,42,incorrect,0.1,noun,bullseye,0.0,0.09699999999999998,guess,0.0,0.12000000000000005,cs,0.43
10_20_06,52,incorrect,0.11,noun,bullseye,0.0,0.11000000000000032,guess,0.0,0.12000000000000005,cs,0.43
11_02_05,70,correct,0.11,noun,bullseye,1.0,0.11000000000000032,guess,0.0,0.13000000000000006,cs,0.43
11_16_01,43,incorrect,0.11,noun,bullseye,0.0,0.11000000000000032,guess,0.0,0.13000000000000006,cs,0.43
11_02_04,67,correct,0.12,noun,bullseye,1.0,0.11999999999999966,guess,0.0,0.13000000000000006,cs,0.43
10_20_02,70,incorrect,0.12,noun,bullseye,0.0,0.12300000000000022,guess,0.0,0.13000000000000006,cs,0.43
11_02_07,36,incorrect,0.12,noun,bullseye,0.0,0.12300000000000022,guess,0.0,0.14000000000000007,cs,0.42
11_02_04,59,correct,0.13,noun,bullseye,1.0,0.12699999999999978,guess,0.0,0.13000000000000006,cs,0.43
10_20_02,66,incorrect,0.13,noun,bullseye,0.0,0.1299999999999999,guess,0.0,0.13000000000000006,cs,0.43
11_16_04,53,incorrect,0.15,noun,bullseye,0.0,0.15300000000000002,guess,0.0,0.14000000000000007,cs,0.42
11_16_03,50,incorrect,0.16,noun,bullseye,0.0,0.1629999999999998,guess,0.0,0.14000000000000007,cs,0.42
10_20_01,63,incorrect,0.18,noun,bullseye,0.0,0.17700000000000005,guess,0.0,0.15000000000000008,cs,0.41
10_20_04,51,incorrect,0.18,noun,bullseye,0.0,0.17700000000000005,guess,0.0,0.15000000000000008,cs,0.41
10_20_02,67,incorrect,0.19,noun,bullseye,0.0,0.18699999999999983,guess,0.0,0.15000000000000008,cs,0.41
10_20_01,56,correct,0.19,noun,bullseye,1.0,0.1900000000000004,guess,0.0,0.15000000000000008,cs,0.41
10_20_02,64,incorrect,0.19,noun,bullseye,0.0,0.19300000000000006,guess,0.0,0.15000000000000008,cs,0.41
10_20_05,50,incorrect,0.2,noun,bullseye,0.0,0.19700000000000006,guess,0.0,0.16999999999999993,cs,0.4
11_02_02,27,incorrect,0.2,noun,bullseye,0.0,0.19700000000000006,guess,0.0,0.16999999999999993,cs,0.4
11_16_01,63,incorrect,0.2,noun,bullseye,0.0,0.19700000000000006,guess,0.0,0.16999999999999993,cs,0.4
11_10_03,41,incorrect,0.21,noun,bullseye,0.0,0.20999999999999996,guess,0.0,0.17999999999999994,cs,0.39
10_20_05,69,incorrect,0.22,noun,bullseye,0.0,0.21999999999999975,guess,0.0,0.17999999999999994,cs,0.39
11_16_01,58,incorrect,0.22,noun,bullseye,0.0,0.21999999999999975,guess,0.0,0.18999999999999995,cs,0.38
10_20_02,56,incorrect,0.22,noun,bullseye,0.0,0.2230000000000003,guess,0.0,0.18999999999999995,cs,0.38
11_02_08,34,correct,0.22,noun,bullseye,1.0,0.2230000000000003,guess,0.0,0.17999999999999994,cs,0.39
11_10_03,42,incorrect,0.22,noun,bullseye,0.0,0.2230000000000003,guess,0.0,0.18999999999999995,cs,0.38
11_02_01,26,correct,0.23,noun,bullseye,1.0,0.22699999999999987,guess,0.0,0.17999999999999994,cs,0.39
11_16_01,48,correct,0.23,noun,bullseye,1.0,0.22699999999999987,guess,0.0,0.17999999999999994,cs,0.39
11_16_04,68,incorrect,0.23,noun,bullseye,0.0,0.22699999999999987,guess,0.0,0.17999999999999994,cs,0.39
10_20_04,60,correct,0.23,noun,bullseye,1.0,0.22999999999999998,guess,0.0,0.16999999999999993,cs,0.4
10_20_04,70,correct,0.23,noun,bullseye,1.0,0.22999999999999998,guess,0.0,0.16999999999999993,cs,0.4
11_10_05,26,incorrect,0.24,noun,bullseye,0.0,0.24300000000000033,guess,0.0,0.16999999999999993,cs,0.4
11_10_03,36,incorrect,0.25,noun,bullseye,0.0,0.25299999999999967,guess,0.0,0.17999999999999994,cs,0.39
11_16_04,66,correct,0.25,noun,bullseye,1.0,0.25299999999999967,guess,0.0,0.16999999999999993,cs,0.4
11_16_05,25,correct,0.25,noun,bullseye,1.0,0.25299999999999967,guess,0.0,0.15999999999999998,cs,0.41
11_16_01,57,correct,0.26,noun,bullseye,1.0,0.2570000000000001,guess,0.0,0.15999999999999998,cs,0.41
11_16_04,62,correct,0.26,noun,bullseye,1.0,0.2570000000000001,guess,0.0,0.14999999999999997,cs,0.42
11_16_04,69,incorrect,0.26,noun,bullseye,0.0,0.2570000000000001,guess,0.0,0.15999999999999998,cs,0.41
10_20_01,66,incorrect,0.26,noun,bullseye,0.0,0.2599999999999998,guess,0.0,0.15999999999999998,cs,0.41
10_20_01,59,correct,0.26,noun,bullseye,1.0,0.2629999999999999,guess,0.0,0.14999999999999997,cs,0.42
10_20_01,67,incorrect,0.26,noun,bullseye,0.0,0.2629999999999999,guess,0.0,0.15999999999999998,cs,0.41
10_20_02,59,incorrect,0.26,noun,bullseye,0.0,0.2629999999999999,guess,0.0,0.16999999999999998,cs,0.41
10_20_02,68,incorrect,0.26,noun,bullseye,0.0,0.2629999999999999,guess,0.0,0.17999999999999994,cs,0.4
11_02_02,48,incorrect,0.26,noun,bullseye,0.0,0.2629999999999999,guess,0.0,0.17999999999999994,cs,0.4
11_02_04,55,incorrect,0.26,noun,bullseye,0.0,0.2629999999999999,guess,0.0,0.17999999999999994,cs,0.4
11_02_04,69,incorrect,0.26,noun,bullseye,0.0,0.2629999999999999,guess,0.0,0.18999999999999995,cs,0.39
11_10_05,39,correct,0.26,noun,bullseye,1.0,0.2629999999999999,guess,0.0,0.17999999999999994,cs,0.4
10_20_02,57,incorrect,0.28,noun,bullseye,0.0,0.27700000000000014,guess,0.0,0.18999999999999995,cs,0.39
11_02_04,51,incorrect,0.28,noun,bullseye,0.0,0.27700000000000014,guess,0.0,0.18999999999999995,cs,0.39
10_20_06,69,correct,0.29,noun,bullseye,1.0,0.2869999999999999,guess,0.0,0.17999999999999994,cs,0.4
10_20_06,71,correct,0.29,noun,bullseye,1.0,0.2869999999999999,guess,0.0,0.17999999999999994,cs,0.4
11_02_02,29,incorrect,0.29,noun,bullseye,0.0,0.2869999999999999,guess,0.0,0.17999999999999994,cs,0.4
11_02_02,37,correct,0.29,noun,bullseye,1.0,0.29000000000000004,guess,0.0,0.17999999999999994,cs,0.4
11_02_04,50,correct,0.29,noun,bullseye,1.0,0.29000000000000004,guess,0.0,0.16999999999999998,cs,0.41
11_16_01,56,incorrect,0.29,noun,bullseye,0.0,0.29000000000000004,guess,0.0,0.16999999999999998,cs,0.41
10_20_06,59,incorrect,0.29,noun,bullseye,0.0,0.29300000000000015,guess,0.0,0.17999999999999994,cs,0.4
11_02_02,44,correct,0.29,noun,bullseye,1.0,0.29300000000000015,guess,0.0,0.16999999999999998,cs,0.41
11_16_04,54,correct,0.29,noun,bullseye,1.0,0.29300000000000015,guess,0.0,0.16999999999999998,cs,0.41
10_20_01,61,incorrect,0.3,noun,bullseye,0.0,0.29700000000000015,guess,0.0,0.16999999999999998,cs,0.41
11_02_02,36,correct,0.3,noun,bullseye,1.0,0.29700000000000015,guess,0.0,0.15999999999999998,cs,0.42
11_02_05,58,correct,0.3,noun,bullseye,1.0,0.29700000000000015,guess,0.0,0.15999999999999998,cs,0.42
11_02_07,43,correct,0.3,noun,bullseye,1.0,0.29700000000000015,guess,0.0,0.14999999999999997,cs,0.43
11_16_04,70,correct,0.31,noun,bullseye,1.0,0.31000000000000005,guess,0.0,0.14999999999999997,cs,0.43
11_02_08,31,correct,0.32,noun,bullseye,1.0,0.31999999999999984,guess,0.0,0.13999999999999996,cs,0.44
11_16_01,59,correct,0.32,noun,bullseye,1.0,0.31999999999999984,guess,0.0,0.13999999999999996,cs,0.44
11_16_05,47,correct,0.32,noun,bullseye,1.0,0.31999999999999984,guess,0.0,0.12999999999999995,cs,0.45
10_20_01,60,incorrect,0.32,noun,bullseye,0.0,0.3230000000000004,guess,0.0,0.13999999999999996,cs,0.44
10_20_06,55,correct,0.32,noun,bullseye,1.0,0.3230000000000004,guess,0.0,0.12999999999999995,cs,0.45
11_02_07,46,correct,0.32,noun,bullseye,1.0,0.3230000000000004,guess,0.0,0.11999999999999994,cs,0.46
11_02_02,28,incorrect,0.33,noun,bullseye,0.0,0.32699999999999996,guess,0.0,0.12999999999999995,cs,0.45
10_20_04,49,incorrect,0.33,noun,bullseye,0.0,0.33000000000000007,guess,0.0,0.12999999999999995,cs,0.45
10_20_05,71,correct,0.33,noun,bullseye,1.0,0.33000000000000007,guess,0.0,0.12999999999999995,cs,0.45
11_16_04,67,incorrect,0.33,noun,bullseye,0.0,0.33000000000000007,guess,0.0,0.12999999999999995,cs,0.45
10_20_04,64,incorrect,0.34,noun,bullseye,0.0,0.34299999999999997,guess,0.0,0.13999999999999996,cs,0.44
11_02_08,33,correct,0.34,noun,bullseye,1.0,0.34299999999999997,guess,0.0,0.12999999999999995,cs,0.45
11_16_01,54,correct,0.34,noun,bullseye,1.0,0.34299999999999997,guess,0.0,0.12999999999999995,cs,0.45
10_20_06,63,correct,0.35,noun,bullseye,1.0,0.35299999999999976,guess,0.0,0.11999999999999994,cs,0.46
11_02_04,61,correct,0.35,noun,bullseye,1.0,0.35299999999999976,guess,0.0,0.10999999999999999,cs,0.47
10_20_01,70,correct,0.36,noun,bullseye,1.0,0.3570000000000002,guess,0.0,0.10999999999999999,cs,0.47
10_20_04,54,correct,0.36,noun,bullseye,1.0,0.3570000000000002,guess,0.0,0.09999999999999998,cs,0.48
10_20_06,57,correct,0.36,noun,bullseye,1.0,0.3570000000000002,guess,0.0,0.09999999999999998,cs,0.48
11_10_04,48,incorrect,0.36,noun,bullseye,0.0,0.3570000000000002,guess,0.0,0.09999999999999998,cs,0.48
11_10_05,41,correct,0.36,noun,bullseye,1.0,0.3599999999999999,guess,0.0,0.09999999999999998,cs,0.48
11_16_01,50,correct,0.36,noun,bullseye,1.0,0.3599999999999999,guess,0.0,0.08999999999999997,cs,0.49
11_16_03,49,correct,0.36,noun,bullseye,1.0,0.3599999999999999,guess,0.0,0.08999999999999997,cs,0.49
10_20_06,65,correct,0.36,noun,bullseye,1.0,0.363,guess,0.0,0.07999999999999996,cs,0.5
11_02_02,33,incorrect,0.36,noun,bullseye,0.0,0.363,guess,0.0,0.08999999999999997,cs,0.49
11_02_05,55,correct,0.36,noun,bullseye,1.0,0.363,guess,0.0,0.07999999999999996,cs,0.5
11_02_08,44,correct,0.36,noun,bullseye,1.0,0.363,guess,0.0,0.07999999999999996,cs,0.5
11_16_01,62,incorrect,0.36,noun,bullseye,0.0,0.363,guess,0.0,0.07999999999999996,cs,0.5
11_16_01,52,correct,0.38,noun,bullseye,1.0,0.3770000000000002,guess,0.0,0.07999999999999996,cs,0.5
11_02_08,35,incorrect,0.39,noun,bullseye,0.0,0.3900000000000001,guess,0.0,0.07999999999999996,cs,0.5
11_10_03,48,correct,0.39,noun,bullseye,1.0,0.3900000000000001,guess,0.0,0.07999999999999996,cs,0.5
11_10_05,38,correct,0.39,noun,bullseye,1.0,0.3900000000000001,guess,0.0,0.06999999999999995,cs,0.51
11_16_01,46,correct,0.39,noun,bullseye,1.0,0.3900000000000001,guess,0.0,0.06999999999999995,cs,0.51
11_16_03,68,correct,0.39,noun,bullseye,1.0,0.3900000000000001,guess,0.0,0.05999999999999994,cs,0.52
10_20_05,55,correct,0.39,noun,bullseye,1.0,0.3929999999999998,guess,0.0,0.05999999999999994,cs,0.52
11_02_08,45,correct,0.39,noun,bullseye,1.0,0.3929999999999998,guess,0.0,0.04999999999999993,cs,0.53
10_20_02,49,incorrect,0.4,noun,bullseye,0.0,0.3969999999999998,guess,0.0,0.05999999999999994,cs,0.52
10_20_06,64,correct,0.4,noun,bullseye,1.0,0.3969999999999998,guess,0.0,0.04999999999999993,cs,0.53
10_20_06,67,correct,0.4,noun,bullseye,1.0,0.3969999999999998,guess,0.0,0.04999999999999993,cs,0.53
11_02_05,50,incorrect,0.4,noun,bullseye,0.0,0.3969999999999998,guess,0.0,0.04999999999999993,cs,0.53
11_02_08,26,correct,0.4,noun,bullseye,1.0,0.3969999999999998,guess,0.0,0.04999999999999993,cs,0.53
10_20_04,53,incorrect,0.41,noun,bullseye,0.0,0.41000000000000014,guess,0.0,0.04999999999999993,cs,0.53
10_20_06,61,correct,0.41,noun,bullseye,1.0,0.41000000000000014,guess,0.0,0.05999999999999994,cs,0.53
11_02_02,30,correct,0.41,noun,bullseye,1.0,0.41000000000000014,guess,0.0,0.05999999999999994,cs,0.53
11_10_05,25,correct,0.41,noun,bullseye,1.0,0.41000000000000014,guess,0.0,0.04999999999999993,cs,0.54
10_20_01,51,incorrect,0.42,noun,bullseye,0.0,0.41999999999999993,guess,0.0,0.05999999999999994,cs,0.53
